"AAPG Bulletin","AAPG Bull."
"European Journal of Mechanics - B/Fluids","Eur. J. Mech. B. Fluids"
"European Journal of Medicinal Chemistry","Eur. J. Med. Chem."
"European Journal of Mineralogy","Eur. J. Mineral."
"European Journal of Nuclear Medicine and Molecular Imaging","Eur. J. Nucl. Med. Mol. Imaging"
"European Journal of Organic Chemistry","Eur. J. Org. Chem."
"European Journal of Pharmaceutical Sciences","Eur. J. Pharm. Sci."
"European Journal of Pharmaceutics and Biopharmaceutics","Eur. J. Pharm. Biopharm."
"European Journal of Pharmacology","Eur. J. Pharmacol."
"European Journal of Pharmacology: Environmental Toxicology and Pharmacology","Eur. J. Pharmacol. Environ. Toxicol. Pharm."
"European Journal of Pharmacology: Molecular Pharmacology","Eur. J. Pharmacol. Mol. Pharmacol."
"European Journal of Phycology","Eur. J. Phycol."
"European Journal of Physics","Eur. J. Phys."
"European Journal of Pure and Applied Mathematics","Eur. J. Pure Appl. Math."
"European Journal of Radiology","Eur. J. Radiol."
"European Journal of Soil Biology","Eur. J. Soil Biol."
"European Journal of Soil Science","Eur. J. Soil Sci."
"European Journal of Solid State and Inorganic Chemistry","Eur. J. Solid State Inorg. Chem."
"European Journal of Toxicology and Environmental Hygiene","Eur. J. Toxicol. Environ. Hyg."
"European Journal of Ultrasound","Eur. J. Ultrasound"
"European Journal of Wood and Wood Products","Eur. J. Wood Wood Prod."
"European Mass Spectrometry","Eur. Mass Spectrom."
"European Physical Journal A: Hadrons and Nuclei","Eur. Phys. J. A"
"European Physical Journal Applied Physics","Eur. Phys. J. Appl. Phys."
"European Physical Journal B: Condensed Matter and Complex Systems","Eur. Phys. J. B"
"European Physical Journal C: Particles and Fields","Eur. Phys. J. C"
"European Physical Journal D: Atomic, Molecular, Optical and Plasma Physics","Eur. Phys. J. D"
"European Physical Journal E: Soft Matter","Eur. Phys. J. E"
"European Physical Journal H: Historical Perspectives on Contemporary Physics","Eur. Phys. J. H"
"European Polymer Journal","Eur. Polym. J."
"European Potato Journal","Eur. Potato J."
"European Space Agency Special Publication SP","Eur. Space Agency Spec. Publ. SP"
"European Transactions on Electrical Power","Eur. Trans. Electr. Power"
"European Transactions on Telecommunications","Eur. Trans. Telecommun."
"Europhysics Letters","Europhys. Lett."
"Europhysics News","Europhys. News"
"Experimental Agriculture","Exp. Agric."
"Experimental Astronomy","Exp. Astron."
"Experimental Cell Research","Exp. Cell Res."
"Experimental Heat Transfer","Exp. Heat Transfer"
"Experimental Hematology","Exp. Hematol."
"Experimental Mechanics","Exp. Mech."
"Experimental Mycology","Exp. Mycol."
"Experimental Techniques","Exp. Tech."
"Experimental Thermal and Fluid Science","Exp. Therm. Fluid Sci."
"Experimental and Clinical Psychopharmacology","Exp. Clin. Psychopharmacol."
"Experimental and Molecular Pathology","Exp. Mol. Pathol."
"Experimental and Toxicologic Pathology","Exp. Toxicol. Pathol."
"Experimentelle Technik der Physik","Exp. Tech. Phys."
"Experiments in Fluids","Exp. Fluids"
"Expert Opinion on Drug Discovery","Expert Opin. Drug Discovery"
"Expert Opinion on Drug Metabolism & Toxicology","Expert Opin. Drug Metab. Toxicol."
"Expert Reviews in Molecular Medicine","Expert Rev. Mol. Med."
"Expert Systems with Applications","Expert Syst. Appl."
"Exploration Geophysics","Explor. Geophys."
"Exploration and Mining Geology","Explor. Min. Geol."
"FASEB Journal","FASEB J."
"FEBS Journal","FEBS J."
"FEBS Letters","FEBS Lett."
"FEMS Immunology And Medical Microbiology","FEMS Immunol. Med. Microbiol."
"FEMS Microbiology Ecology","FEMS Microbiol. Ecol."
"FEMS Microbiology Letters","FEMS Microbiol. Lett."
"FEMS Microbiology Review","FEMS Microbiol. Rev."
"FEMS Yeast Research","FEMS Yeast Res."
"Faraday Discussions","Faraday Discuss."
"Faraday Discussions of the Chemical Society","Faraday Discuss. Chem. Soc."
"Faraday Discussions of the Royal Society of Chemistry","Faraday Discuss. R. Soc. Chem."
"Faraday Special Discussions of the Chemical Society","Farday Spec. Discuss. Chem. Soc."
"Faraday Symposium of the Chemical Society","Faraday Symp. Chem. Soc."
"Faraday Symposium of the Royal Society of Chemistry","Faraday Symp. R. Soc. Chem."
"Faraday Transactions","Faraday Trans."
"Fatigue and Fracture of Engineering Materials and Structures","Fatigue Fract. Eng. Mater. Struct."
"Federal Register","Fed. Regist."
"Ferroelectric Letters Section","Ferroelectr. Lett. Sect."
"Ferroelectrics Letters","Ferroelectr. Lett."
"Ferroelectrics Review","Ferroelectr. Rev."
"Fett - Lipid","Fett - Lipid"
"Few-Body Systems","Few-Body Syst."
"Fiber and Integrated Optics","Fiber Integr. Opt."
"Fibers and Polymers","Fibers Polym."
"Fibre Chemistry","Fibre Chem."
"Fibres & Textiles in Eastern Europe","Fibres Text. East. Eur"
"Field Analytical Chemistry and Technology.","Field Anal. Chem. Technol."
"Filtration & Separation","Filtr. Sep."
"Finite Elements in Analysis and Design","Finite Elem. Anal. Des."
"Finite Fields and Their Applications","Finite Fields Appl."
"Fire Safety Journal","Fire Saf. J."
"Fire Technology","Fire Technol."
"Fire and Materials","Fire Mater."
"Fish & Shellfish Immunology","Fish Shellfish Immunol."
"Fisheries Research","Fish. Res."
"Fizika Goreniya i Vzryva","Fiz. Goreniya Vzryva"
"Fizika Metallov i Metallovedenie","Fiz. Met. Metalloved."
"Flavour and Fragance Journal","Flavour Fragance J."
"Flow Measurement and Instrumentation","Flow Meas. Instrum."
"Fluctuations and Noise Letters","Fluctuation Noise Lett."
"Fluegers Archiv fur die Gesamte Physiologie des Menschen und der Tiere","Pfluegers Arch. Gesame Physiol. Menschen Tiere"
"Fluid Dynamics","Fluid Dyn."
"Fluid Dynamics Research","Fluid Dyn. Res."
"Fluid Phase Equilibria","Fluid Phase Equilib."
"Fluid/Particle Separation Journal","Fluid/Part. Sep. J."
"Flussiges Obst","Fluss. Obst"
"Focus on Catalysts","Focus Catal."
"Focus on Pigments","Focus Pigm."
"Focus on Polyvinyl Chloride","Focus Polyvinyl Chloride"
"Focus on Powder Coatings","Focus Powder Coat."
"Focus on Surfactants","Focus Surfactants"
"Folding and Design","Fold Des."
"Folia Biologica","Folia Biol. (Praha)"
"Fonderie Fondeur d'Aujourd'hui","Fonderie Fondeur Aujourd'hui"
"Food & Foods Ingredients Journal of Japan","Food Foods Ingredients J. Jpn."
"Food Additives and Contaminants","Food Addit. Contam."
"Food Analytical Methods","Food Anal. Methods"
"Food Biophysics","Food Biophys."
"Food Biotechnology","Food Biotechnol."
"Food Chemistry","Food Chem."
"Food Control","Food Control"
"Food Engineering Reviews","Food Eng. Rev."
"Food Hydrocolloids","Food Hydrocolloids"
"Food Microbiology","Food Microbiol."
"Food Policy","Food Policy"
"Food Quality","Food Qual."
"Food Quality and Preference","Food Qual. Preference"
"Food Research International","Food Res. Int."
"Food Science and Biotechnology","Food Sci. Biotechnol."
"Food Science and Technology International","Food Sci. Technol. Int."
"Food Science and Technology Research","Food Sci. Technol. Res."
"Food and Bioprocess Technology","Food Bioprocess Technol."
"Food and Bioproducts Processing","Food Bioprod. Process."
"Food and Chemical Toxicology","Food Chem. Toxicol."
"Food and Cosmetics Toxicology","Food Cosmet. Toxicol."
"Footwear Science","Footwear Sci."
"Forensic Science International","Forensic Sci. Int."
"Forensic Science International: Genetics","Forensic Sci. Int. Genet."
"Forensic Science Policy and Management","Forensic Sci. Policy Manage."
"Forensic Science Progress","Forensic Sci. Prog."
"Forensic Science, Medicine and Pathology","Forensic Sci. Med. Pathol."
"Forensic Toxicology","Forensic Toxicol."
"Forestry Chronicle","For. Chron."
"Forschung im Ingenieurwesen","Forsch. Ingenieurwes."
"Forschungen und Fortschritte","Forsch. Fortschr."
"Fortschriftsberiche der Deutschen Keramischen Gesellschaft","Fortschrittsber. Dtschen Keram. Ges."
"Fortschritte auf dem Gebiete der Rontgenstrahlen","Fortschr. Geb. Rontgenstr."
"Fortschritte auf dem Gebiete der Rontgenstrahlen und Nuklearmedizine","Fortschr. Geb. Rontgenstr. Nuklearmed."
"Fortschritte der Chemie, Physik und Physikalischen Chemie","Fortschr. Chem. Phys. Phys. Chem."
"Fortschritte der Chemischen Forschung","Fortschr. Chem. Forsch."
"Fortschritte der Hochpolymoren-Forschung","Fortschr. Hochpolym. Forsch."
"Fortschritte der Mineralogie","Fortschr. Mineral."
"Fortschritte der Mineralogie, Kristallograhie, und Petrographie","Fortschr. Mineral. Kristallog. Petrogr."
"Fortschritte der Physik","Fortschr. Phys."
"Fortschritte der Physikalischen Chemie","Fortschr. Phys. Chem."
"Fortschritte der Teerfarben fabrikation und Verwandter Industriezweige","Fortschr. Teerfarbenfabr. Verw. Industriezweige"
"Fortschritte der Verfahrenstechnik","Fortschr. Verfahrenstech."
"Fortschritte der Verfahrenstechnik Abteilung A: Grundlagen der Verfahrenstechnik","Fortschr. Verfahrenstech. Abt. A"
"Fortschritte der Verfahrenstechnik Abteilung B: Mechanische Verfahrenstechnik","Fortschr. Verfahrenstech. Abt. B"
"Fortschritte der Verfahrenstechnik Abteilung C: Thermische Verfahrenstechnik","Fortschr. Verfahrenstech. Abt. C"
"Fortschritte der Verfahrenstechnik Abteilung D: Reaktionstechnik","Fortschr. Verfahrenstech. Abt. D"
"Fortschritte der Verfahrenstechnik Abteilung E: Planung und Betrieb Von Anlagen","Fortschr. Verfahrenstech. Abt. E"
"Fortschritte der Verfahrenstechnik Abteilung F: Spezielle Technologien","Fortschr. Verfahrenstech. Abt. F"
"Foundation of Physics Letters","Found. Phys. Lett."
"Foundations of Chemistry","Found. Chem."
"Foundations of Physics","Found. Phys."
"Fragrance Journal","Fragance J."
"Free Radical Biology and Medicine","Free Radical Biol. Med."
"Free Radical Research","Free Radical Res."
"Freiberger Forschungshefte A.","Freiberg. Forschungsh. A."
"Fresenius Environment bulletin","Fresenius Environ. Bull."
"Fresenius Journal of Analytical Chemistry","Fresenius J. Anal. Chem."
"Frontier Science Series","Front. Sci. Ser."
"Frontiers in Drug Design and Discovery","Front. Drug Des. Discovery"
"Frontiers of Chemical Engineering in China","Front. Chem. Eng. China"
"Frontiers of Chemistry in China","Front. Chem. China"
"Frontiers of Earth Science in China","Front Earth Sci. China"
"Frontiers of Electrical and Electronic Engineering in China","Front. Electr. Electron. Eng. China"
"Frontiers of Energy and Power Engineering in China","Front. Energy Power Eng. China"
"Frontiers of Environmental Science & Engineering in China","Front. Environ. Sci. Eng. China"
"Frontiers of Materials Science in China","Front. Mater. Sci. China"
"Frontiers of Mechanical Engineering in China","Front. Mech. Eng. China"
"Fuel Cells Bulletin","Fuel Cells Bull."
"Fuel Processing Technology","Fuel Process. Technol."
"Fuel Science and Technology International","Fuel Sci. Technol. Int."
"Fujitsu Scientific & Technical Journal","Fujitsu Sci. Tech. J."
"Fullerence, Nanotubes, and Carbon Nanostructures","Fullerenes Nanotubes Carbon Nanostruct."
"Fullerene Science and Technology","Fullerene Sci. Technol."
"Functional and Integrative Genomics","Funct. Integr. Genomics"
"Fundamental and Applied Toxicology","Fundam. Appl. Toxicol."
"Fusion Engineering and Design","Fusion Eng. Des."
"Fusion Science and Technology","Fusion Sci. Technol."
"Fusion Technology","Fusion Technol."
"Fuzzy Sets and Systems","Fuzzy Sets Syst."
"GAMS Journal of Mathematics and Mathemaical Biosciences","GAMS J. Math. Math. Biosci."
"GIT Labor-Fachzeitschrift","GIT Labor Fachz."
"Galvanotechnik","Galvanotechnik"
"Gas Separation and Purification","Gas Sep. Purif."
"Gaswaerme International","Gaswaerme Int."
"Gazzetta Chimica Italiana","Gazz. Chim. Ital."
"Gefahrstoffe Reinhaltung der Luft","Gefahrstoffe - Reinhalt. Luft"
"Gene therapy","Gene Ther."
"General Relativity and Gravitation","Gen. Relativ. Gravitation"
"Genetic Analysis - Biomolecular Engineering","Genet. Anal. - Biomol. Eng."
"Geo-Marine Letters","Geo-Mar. Lett."
"Geochemical Journal","Geochem. J."
"Geochemical Transactions","Geochem. Trans."
"Geochemistry International","Geochem. Int."
"Geochemistry, Geophysics, Geosystems","Geochem. Geophys. Geosyst."
"Geochemistry: Exploration, Environment, Analysis","Geochem. Explor. Environ. Anal."
"Geochimica et Cosmochimica Acta","Geochim. Cosmochim. Acta"
"Geological Journal","Geol. J."
"Geological Magazine","Geol. Mag."
"Geological Society Special Publication","Geol. Soc. Spec. Publ."
"Geological Society of America Bulletin","Geol. Soc. Am. Bull."
"Geologie en Mijnbouw","Geol. Mijnbouw"
"Geologische Rundschau","Geol. Rundsch."
"Geologisches Jahrbuch","Geol. Jahrb."
"Geologiska Foereningens i Stockholm Foerhandlingar","GFF"
"Geologiya i Geofizika","Geol. Geofiz."
"Geology Today","Geol. Today"
"Geology of Ore Deposits","Geol. Ore Deposits"
"Geomagnetism and Aeronomy","Geomag. Aeron."
"Geomechanics and Geoengineering","Geomech. Geoeng."
"Geomechanics and Tunnelling","Geomech. Tunnelling"
"Geomicrobiology Journal","Geomicrobiol. J."
"Geophysical Fluid Dynamics","Geophys. Fluid Dyn."
"Geophysical Journal","Geophys. J."
"Geophysical Journal International","Geophys. J. Int."
"Geophysical Journal of the Royal Astronomical Society","Geophys. J. R. Astron. Soc."
"Geophysical Magazine","Geophys. Mag."
"Geophysical Prospecting","Geophys. Prospect."
"Geophysical Research Letters","Geophys. Res. Lett."
"Geophysical and Astrophysical Fluid Dynamics","Geophys. Astrophys. Fluid Dyn."
"Geosciences Journal","Geosci. J."
"Geostandards and Geoanalytical Research","Geostand. Geoanal. Res."
"Geotechnical Testing Journal","Geotech. Test. J."
"Geotechnical and Geological Engineering","Geotech. Geol. Eng."
"Geotextiles and Geomembranes","Geotext. Geomembr."
"Gerlands Beitrage zur Geophysik","Gerlands Beitr. Geophys."
"Gesundheits- und Umwelttechnik","Gesund. Umwelttech."
"Gesundheits-Ingenier","Gesund. Ing."
"Gesundsheitsschutz und Umwelttechnik","Gesundheitsschutz Umwelttech."
"Glass Physics and Chemistry","Glass Phys. Chem"
"Glass Research","Glass Res."
"Glass Science and Technology","Glass Sci. Technol."
"Glass Technology","Glass Technol."
"Glass Technology: European Journal of Glass Science and Technology, Part A","Glass Technol.: Eur. J. Glass Sci. Technol., Part A"
"Glass and Ceramics","Glass Ceram."
"Global Biogeochemical Cycles","Glob. Biogeochem. Cycles"
"Global Change Biology","Glob. Change Biol."
"Global Ecology and Biogeography","Glob. Ecol. Biogeogr."
"Global Environmental Change","Glob. Environ. Change"
"Global Journal of Environmental Sciences","Glob. J. Environ. Sci."
"Global Journal of Geological Sciences","Glob. J. Geol. Sci."
"Global Journal of Pure and Applied Sciences","Glob. J. Pure Appl. Sci."
"Global and Planetary Change","Glob. Planet. Change"
"Glycoconjugate Journal","Glycoconjugate J."
"Gold Bulletin","Gold Bull."
"Gondwana Research","Gondwana Res."
"Granular Matter","Granular Matter"
"Grasas y Aceites","Grasas Aceites"
"Grass and Forage Science","Grass Forage Sci."
"Grassland Science","Grassland Sci."
"Gravitation and Cosmology","Gravitation Cosmol."
"Green Chemistry","Green Chem."
"Green Chemistry Letters and Reviews","Green Chem. Lett. Rev."
"Greenland Geoscience","Greenl. Geosci."
"Ground Water","Ground Water"
"Ground Water Monitoring Review","Ground Water Monit. Rev."
"Ground Water Monitoring and Remediation","Ground Water Monit. Rem."
"HRC Journal of High Resolution Chromatography","HRC J. High Resolut. Chromatogr."
"HTM, Haerterei Technische Mitteilungen","HTM Haerteri Tech. Mitt."
"HTM, Haerterei-Technische Mitteilungen","HTM, Haerterei Tech. Mit."
"Handbook of Experimental Pharmacology","Handb. Exp. Pharmacol."
"Hazardous Waste and Hazardous Materials","Hazard. Waste Hazard. Mater."
"Health Physics","Health Phys."
"Heat Recovery Systems and CHP","Heat Recovery Syst. CHP"
"Heat Transfer - Asian Research","Heat Transfer Asian Res."
"Heat Transfer Engineering","Heat Transfer Eng."
"Heat Treatment of Metals","Heat Treat. Met."
"Heat and Mass Transfer","Heat Mass Transfer"
"Helvetica Chimica Acta","Helv. Chim. Acta"
"Helvetica Physica Acta","Helv. Phys. Acta"
"Herald of the Russian Academy of Sciences","Her. Russ. Acad. Sci."
"Heteroatom Chemistry","Heteroat. Chem"
"Heterocyclic Communications","Heterocycl. Commun."
"Heterogeneous Chemistry Reviews","Heterogen. Chem. Rev."
"High Energy Chemistry","High Energy Chem."
"High Energy Density Physics","High Energy Density Phys."
"High Performance Polymers","High Perform. Polym."
"High Pressure Research","High Pressure Res."
"High Temperature","High Temp."
"High Temperature Material Processes","High Temp. Mater. Processes (New York)"
"High Temperature Materials and Processes","High Temp. Mater. Processes (London)"
"Himalayan Chemical and Pharmaceutical Bulletin","Himalayan Chem. Pharm. Bull."
"Himalayan Geology","Himalayan Geol."
"Himalayan Journal of Environment and Zoology","Himalayan J. Environ. Zool."
"Holz als Roh und Werkstoff","Holz Roh Werkst."
"Hoppe-Seyler's Zeitschrift fur Physiologische Chemie","Hoppe-Seyler's Z. Physiol. Chem."
"Horticulture, Environment and Biotechnology","Hortic. Environ. Biotechnol."
"Human & Ecological Risk Assessment","Hum. Ecol. Risk Assess."
"Human Factors and Ergonomics in Manufacturing & Service Industries","Hum. Factors Ergon. Manuf. Serv. Ind."
"Human Gene Therapy","Hum. Gene Ther."
"Hungarian Journal of Industrial Chemistry","Hung. J. Ind. Chem."
"Hydrocarbon Engineering","Hydrocarbon Eng."
"Hydrocarbon Processing, International Edition","Hydrocarbon Process., Int. Ed."
"Hydrogeology Journal","Hydrol. J."
"Hydrological Processes","Hydrol. Process."
"Hydrological Sciences Bulletin","Hydrol. Sci. Bull."
"Hydrological Sciences Journal","Hydrol. Sci. J."
"Hydrologie und Wasserbewirtschaftung","Hydrol. Wasserbewirtsch."
"Hydrology Research","Hydrol. Res."
"Hydrology and Earth System Sciences","Hydrol. Earth Syst. Sci."
"Hydrology and Earth System Sciences Discussions","Hydrol. Earth Syst. Sci. Discuss."
"Hyperfine Interactions","Hyperfine Interact."
"IAEA Bulletin","IAEA Bull."
"IAHS Publication","IAHS Publ."
"IBM Journal of Research and Development","IBM J. Res. Dev."
"IBM Systems Journal","IBM Syst. J."
"IBScientific Journal of Science","IBSci. J. Sci."
"ICES Journal of Marine Science","ICES J. Mar. Sci."
"ICI Journal","ICI J."
"ICIS Chemical Business","ICIS Chem. Bus."
"ICIS Chemical Business Americas","ICIS Chem. Bus. Am."
"IEE Proceedings: Optolectronics","IEE Proc.: Optoelectron."
"IEE Proceedings: Science, Measurement & Technology","IEE Proc.: Sci. Meas. Technol."
"IEEE Aerospace and Electronic Systems Magazine","IEEE Aerosp. Electron. Syst. Mag."
"IEEE Annals of the History of Computing","IEEE Ann. Hist. Comput."
"IEEE Antennas and Propagation Magazine","IEEE Antennas Propag. Mag."
"IEEE Antennas and Wireless Propagation Letters","IEEE Antennas Wirel. Propag. Lett."
"IEEE Biometrics Compendium","IEEE Biometrics Compend."
"IEEE Circuits and Devices Magazine","IEEE Circuits Devices Mag."
"IEEE Circuits and Systems Magazine","IEEE Circuits Syst. Mag."
"IEEE Communication Surveys and Tutorials","IEEE Commun. Surv. Tutorials"
"IEEE Communications Letters","IEEE Commun. Lett."
"IEEE Communications Magazine","IEEE Commun. Mag."
"IEEE Computational Intelligence Magazine","IEEE Comput. Intell. Mag."
"IEEE Computer Architecture Letters","IEEE Comput. Archit. Lett."
"IEEE Computer Graphics and Applications","IEEE Comput. Graphics Appl."
"IEEE Control Systems Magazine","IEEE Control Syst. Mag."
"IEEE Design and Test of Computers","IEEE Des. Test Comput."
"IEEE Distributed Systems Online","IEEE Distrib. Syst. Online"
"IEEE Electrical Insulation Magazine","IEEE Electr. Insul. Mag."
"IEEE Electron Device Letters","IEEE Electron Device Lett."
"IEEE Embedded Systems Letters","IEEE Embedded Sys. Lett."
"IEEE Engineering Management Review","IEEE Eng. Manage. Rev."
"IEEE Engineering in Medicine and Biology Magazine","IEEE Eng. Med. Biol. Mag."
"IEEE Geoscience and Remote Sensing Letters","IEEE Geosci. Remote Sens. Lett."
"IEEE Industrial Electronics Magazine","IEEE Ind. Electron. Mag."
"IEEE Industry Applications Magazine","IEEE Ind. Appl. Mag."
"IEEE Instrumentation and Measurement Magazine","IEEE Instrum. Meas. Mag."
"IEEE Intelligent Systems","IEEE Intell. Syst."
"IEEE Intelligent Transportation Systems Magazine","IEEE Intell. Transp. Syst. Mag."
"IEEE Internet Computing","IEEE Internet Comput."
"IEEE Journal of Oceanic Engineering","IEEE J. Oceanic Eng."
"IEEE Journal of Quantum Electronics","IEEE J. Quantum Electron."
"IEEE Journal of Solid-State Circuits","IEEE J. Solid-State Circuits"
"IEEE Journal on Selected Areas in Communications","IEEE J. Sel. Areas Commun."
"IEEE Journal on Selected Topics in Quantum Electronics","IEEE J. Sel. Top. Quantum Electron."
"IEEE Journal on Selected Topics in Signal Processing","IEEE J. Sel. Top. Sign. Proces."
"IEEE Latin America Transactions","IEEE Lat. Am. Trans."
"IEEE Magnetics Letters","IEEE Magn. Lett."
"IEEE Micro","IEEE Micro"
"IEEE Microwave Magazine","IEEE Microwave Mag."
"IEEE Microwave and Wireless Components Letters","IEEE Microwave Wireless Compon. Lett."
"IEEE Multimedia","IEEE Multimedia"
"IEEE Nanotechnology Magazine","IEEE Nanatechnol. Mag."
"IEEE Network","IEEE Network"
"IEEE Personal Communications","IEEE Pers. Commun."
"IEEE Pervasive Computing","IEEE Pervasive Comput."
"IEEE Photonics Journal","IEEE Photonics J."
"IEEE Photonics Technology Letters","IEEE Photonics Technol. Lett."
"IEEE Potentials","IEEE Potentials"
"IEEE Power Electronics Letters","IEEE Power Electron. Lett."
"IEEE Power and Energy Magazine","IEEE Power Energ. Mag."
"IEEE Reviews in Biomedical Engineering","IEEE Rev. Biomed. Eng."
"IEEE Robotics and Automation Magazine","IEEE Rob. Autom Mag."
"IEEE Security and Privacy","IEEE Secur. Privacy"
"IEEE Sensors Journal","IEEE Sensors J."
"IEEE Signal Processing Letters","IEEE Signal Process Lett."
"IEEE Signal Processing Magazine","IEEE Signal Process Mag."
"IEEE Software","IEEE Softw."
"IEEE Solid-State Circuits Magazine","IEEE Solid-State Circuits Mag."
"IEEE Spectrum","IEEE Spectr."
"IEEE Systems Journal","IEEE Syst. J."
"IEEE Technology and Society Magazine","IEEE Technol. Soc. Mag."
"IEEE Transactions on Acoustics, Speech, and Signal Processing","IEEE Trans. Acoust. Speech Signal Process."
"IEEE Transactions on Advanced Packaging","IEEE Trans. Adv. Packag."
"IEEE Transactions on Aerospace and Electronic Systems","IEEE Trans. Aerosp. Electron. Syst."
"IEEE Transactions on Aerospace and Navigation Electronics","IEEE Trans. Aerosp. Navig. Electron."
"IEEE Transactions on Affective Computing","IEEE Trans. Affective Comput."
"IEEE Transactions on Antennas and Propagation","IEEE Trans. Antennas Propag."
"IEEE Transactions on Applications and Industry","IEEE Trans. Appl. Indus."
"IEEE Transactions on Applied Superconductivity","IEEE Trans. Appl. Supercond."
"IEEE Transactions on Audio","IEEE Trans. Audio"
"IEEE Transactions on Audio and Electroacoustics","IEEE Trans. Audio Electroacoust."
"IEEE Transactions on Audio, Speech and Language Processing","IEEE Trans. Audio Speech Lang. Process."
"IEEE Transactions on Automatic Control","IEEE Trans. Autom. Control"
"IEEE Transactions on Automation Science and Engineering","IEEE Trans. Autom. Sci. Eng."
"IEEE Transactions on Autonomous Mental Development","IEEE Trans. Auton. Ment. Dev."
"IEEE Transactions on Bio-Medical Electronics","IEEE Trans. Bio-med. Electron."
"IEEE Transactions on Biomedical Circuits and Systems","IEEE Trans. Biomed. Circuits Syst."
"IEEE Transactions on Biomedical Engineering","IEEE Trans. Biomed. Eng."
"IEEE Transactions on Broadcast and Television Receivers","IEEE Trans. Broadcast Telev. Receivers"
"IEEE Transactions on Broadcasting","IEEE Trans. Broadcast."
"IEEE Transactions on Circuits and Systems I: Regular Papers","IEEE Trans. Circuits Syst. Regul. Pap."
"IEEE Transactions on Circuits and Systems II: Express Briefs","IEEE Trans. Circuits Syst. Express Briefs"
"IEEE Transactions on Circuits and Systems for Video Technology","IEEE Trans. Circuits Syst. Video Technol."
"IEEE Transactions on Communications","IEEE Trans. Commun."
"IEEE Transactions on Components and Packaging Technologies","IEEE Trans. Compon. Packag. Technol."
"IEEE Transactions on Components, Packaging, and Manufacturing Technology, Part A:","IEEE Trans. Compon. Packag. Manuf. Technol. Part A:"
"IEEE Transactions on Components, Packaging, and Manufacturing Technology, Part B:","IEEE Trans. Compon. Packag. Manuf. Technol. Part B:"
"IEEE Transactions on Components, Packaging, and Manufacturing Technology, Part C:","IEEE Trans. Compon. Packag. Manuf. Technol. Part C:"
"IEEE Transactions on Computational Intelligence in AI and Games","IEEE Trans. Comput. Intell. AI Games"
"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","IEEE Trans. Comput. Aided Des. Integr. Circuits Syst."
"IEEE Transactions on Computers","IEEE Trans. Comput."
"IEEE Transactions on Consumer Electronics","IEEE Trans. Consum. Electron."
"IEEE Transactions on Control Systems Technology","IEEE Trans. Control Syst. Technol."
"IEEE Transactions on Dependable and Secure Computing","IEEE Trans. Dependable Secure Comput."
"IEEE Transactions on Device and Materials Reliability","IEEE Trans. Device Mater. Reliab."
"IEEE Transactions on Dielectrics and Electrical Insulation","IEEE Trans. Dielectr. Electr. Insul."
"IEEE Transactions on Education","IEEE Trans. Educ."
"IEEE Transactions on Electromagnetic Compatibility","IEEE Trans. Electromagn. Compat."
"IEEE Transactions on Electron Devices","IEEE Trans. Electron Devices"
"IEEE Transactions on Electronics Packaging Manufacturing","IEEE Trans. Electron. Packag. Manuf."
"IEEE Transactions on Energy Conversion","IEEE Trans. Energy Convers."
"IEEE Transactions on Engineering Management","IEEE Trans. Eng. Manage."
"IEEE Transactions on Evolutionary Computation","IEEE Trans. Evol. Comput."
"IEEE Transactions on Fuzzy Systems","IEEE Trans. Fuzzy Syst."
"IEEE Transactions on Geoscience and Remote Sensing","IEEE Trans. Geosci. Remote Sens."
"IEEE Transactions on Haptics","IEEE Trans. Haptic"
"IEEE Transactions on Image Processing","IEEE Trans. Image Process."
"IEEE Transactions on Industrial Electronics","IEEE Trans. Ind. Electron."
"IEEE Transactions on Industrial Informatics","IEEE Trans. Ind. Inf."
"IEEE Transactions on Industry Applications","IEEE Trans. Ind. Appl."
"IEEE Transactions on Information Forensics and Security","IEEE Trans. Inf. Forensics Secur."
"IEEE Transactions on Information Technology in Biomedicine","IEEE Trans. Inf. Technol. Biomed."
"IEEE Transactions on Information Theory","IEEE Trans. Inf. Theory"
"IEEE Transactions on Instrumentation and Measurement","IEEE Trans. Instrum. Meas."
"IEEE Transactions on Intelligent Transportation Systems","IEEE Trans. Intell. Transp. Syst."
"IEEE Transactions on Knowledge and Data Engineering","IEEE Trans. Knowl. Data Eng."
"IEEE Transactions on Learning Technologies","IEEE Trans. Learn. Technol."
"IEEE Transactions on Magnetics","IEEE Trans. Magn."
"IEEE Transactions on Medical Imaging","IEEE Trans. Med. Imaging"
"IEEE Transactions on Microwave Theory and Techniques","IEEE Trans. Microwave Theory Tech."
"IEEE Transactions on Mobile Computing","IEEE Trans. Mob. Comput."
"IEEE Transactions on Multimedia","IEEE Trans. Multimedia"
"IEEE Transactions on Nanobioscience","IEEE Trans. Nanobiosci."
"IEEE Transactions on Nanotechnology","IEEE Trans. Nanotechnol."
"IEEE Transactions on Network and Service Management","IEEE Trans. Netw. Serv. Manage."
"IEEE Transactions on Neural Networks","IEEE Trans. Neural Networks"
"IEEE Transactions on Neural Systems and Rehabilitation Engineering","IEEE Trans. Neural Syst. Rehabil. Eng."
"IEEE Transactions on Nuclear Science","IEEE Trans. Nucl. Sci."
"IEEE Transactions on Parallel and Distributed Systems","IEEE Trans. Parallel Distrib. Syst."
