"$K$-Monographs in Mathematics","$K$-Monogr. Math."
"Journal of the Physical Society of Japan","J. Phys. Soc. Japan"
"Journal de Physique I","J. Physique I"
"Journal of Pure and Applied Algebra","J. Pure Appl. Algebra"
"Journal of Qingdao University","J. Qingdao Univ. Nat. Sci. Ed."
"Journal of the Royal Statistical Society","J. R. Stat. Soc. Ser. B Stat. Methodol."
"Journal of the Ramanujan Mathematical Society","J. Ramanujan Math. Soc."
"Journal für die Reine und Angewandte Mathematik","J. Reine Angew. Math."
"Journal of the Royal Statistical Society","J. Roy. Statist. Soc. Ser. A"
"Journal of the Royal Statistical Society","J. Roy. Statist. Soc. Ser. B"
"Journal of the Royal Statistical Society","J. Roy. Statist. Soc. Ser. C"
"Journal of Scheduling","J. Sched."
"Journal of Scientific Computing","J. Sci. Comput."
"Islamic Republic of Iran","J. Sci. Islam. Repub. Iran"
"Journal of Science of the University of Tehran","J. Sci. Univ. Tehran Int. Ed."
"Shaanxi Normal University","J. Shaanxi Normal Univ. Nat. Sci. Ed."
"Shanghai Institute of Railway Technology","J. Shanghai Inst. Railway Tech."
"Journal of Shanghai Jiaotong University","J. Shanghai Jiaotong Univ. (Chin. Ed.)"
"Journal of Shanghai Jiaotong University","J. Shanghai Jiaotong Univ. (Engl. Ed.)"
"Journal of Shanghai University","J. Shanghai Univ."
"Journal of Shanghai University","J. Shanghai Univ. Nat. Sci."
"Journal of Sichuan Union University","J. Sichuan Union Univ. Eng. Sci. Ed."
"Journal of Sound and Vibration","J. Sound Vibration"
"Journal of South China Normal University","J. South China Normal Univ. Natur. Sci. Ed."
"Journal of Southeast University","J. Southeast Univ."
"Journal of Southeast University","J. Southeast Univ. (English Ed.)"
"Journal of Statistics & Management Systems","J. Stat. Manag. Syst."
"Journal of Statistical Studies","J. Stat. Stud."
"Journal of Statistical Computation and Simulation","J. Statist. Comput. Simulation"
"Journal of Statistical Physics","J. Statist. Phys."
"Journal of Statistical Planning and Inference","J. Statist. Plann. Inference"
"Journal of Statistical Research","J. Statist. Res."
"Journal of Symbolic Computation","J. Symbolic Comput."
"The Journal of Symbolic Logic","J. Symbolic Logic"
"Journal of Systems Engineering","J. Syst. Eng."
"Journal of Systems Science and Mathematical Sciences","J. Systems Sci. Math. Sci."
"Polish Academy of Sciences","J. Tech. Phys."
"Journal of the Technical University at Plovdiv","J. Tech. Univ. Plovdiv Fundam. Sci. Appl. Ser. A Pure Appl. Math."
"Journal of Theoretical and Applied Mechanics","J. Theoret. Appl. Mech."
"Journal of Theoretical Probability","J. Theoret. Probab."
"Journal of Thermal Stresses","J. Thermal Stresses"
"Journal de Théorie des Nombres de Bordeaux","J. Théor. Nombres Bordeaux"
"Journal of Tianjin Normal University","J. Tianjin Norm. Univ. Nat. Sci. Ed."
"Journal of Tianjin University","J. Tianjin Univ."
"Journal of Time Series Analysis","J. Time Ser. Anal."
"Journal of Tsinghua University","J. Tsinghua Univ."
"Journal of Tsuda College","J. Tsuda College"
"Journal of Vibration and Control","J. Vib. Control"
"Journal of the Warburg and Courtauld Institutes","J. Warburg Courtauld Inst."
"Journal of Wuhan University","J. Wuhan Univ. Natur. Sci. Ed."
"Xinjiang University","J. Xinjiang Univ. Natur. Sci."
"Journal of Yangzhou University","J. Yangzhou Univ. Nat. Sci. Ed."
"Journal of Yiyang Teachers' College","J. Yiyang Teachers College"
"Journal of Zhengzhou University","J. Zhengzhou Univ. Nat. Sci. Ed."
"J","J.UCS"
"JETP Letters","JETP Lett."
"JNUL Publications","JNUL Publ."
"Jaakko Hintikka Selected Papers","Jaakko Hintikka Sel. Pap."
"Jahresbericht der Deutschen Mathematiker-Vereinigung","Jahresber. Deutsch. Math.-Verein."
"Japan Journal of Industrial and Applied Mathematics","Japan J. Indust. Appl. Math."
"Japanese Journal of Mathematics","Jpn. J. Math. (N.S.)"
"Japanese Journal of Fuzzy Theory and Systems","Japanese J. Fuzzy Theory Systems"
"Joensuun Yliopiston Luonnontieteellisiä Julkaisuja","Joensuun Yliop. Luonnont. Julk."
"Johns Hopkins Studies in the Mathematical Sciences","Johns Hopkins Stud. Math. Sci."
"Jones and Bartlett Books in Mathematics and Computer Science","Jones Bartlett Books Math. Comput. Sci."
"Koninklijke Nederlandse Akademie van Wetenschappen","K. Ned. Akad. Wet. Verh. Afd. Lett. (N. S.)"
"Karachi University","Karachi Univ. J. Sci."
"Keio Science and Technology Reports","Keio Sci. Tech. Rep."
"Kendall's Library of Statistics","Kendall's Lib. Statist."
"Kexue Tongbao","Kexue Tongbao (Chinese)"
"Key Texts: Classic Studies in the History of Ideas","Key Texts Classic Stud. Hist. Ideas"
"\cyr Kibernetika---Neogranichennye Vozmozhnosti i Vozmozhnye Ogranicheniya","Kibern. Neogranich. Vozmozhn. Vozmozhn. Ogranich."
"Natsional\cprime naya Akademiya Nauk Ukrainy","Kibernet. Sistem. Anal."
"Akademiya Nauk Ukrainy","Kibernet. i Vychisl. Tekhn."
"Kluwer International Handbooks of Education","Kluwer Int. Handb. Educ."
"The Kluwer International Series on Discrete Event Dynamic Systems","Kluwer Int. Ser. Discrete Event Dyn. Syst."
"The Kluwer International Series in Engineering and Computer Science","Kluwer Int. Ser. Eng. Comput. Sci."
"Kluwer Texts in the Mathematical Sciences","Kluwer Texts Math. Sci."
"Kobe Journal of Mathematics","Kobe J. Math."
"Kodai Mathematical Journal","Kodai Math. J."
"Koninklijke Nederlandse Akademie van Wetenschappen","Konink. Nederl. Akad. Wetensch. Verh. Afd. Natuurk. Eerste Reeks"
"Korean Journal of Applied Statistics","Korean J. Appl. Statist."
"The Korean Journal of Computational & Applied Mathematics","Korean J. Comput. Appl. Math."
"Kritisches Jahrbuch der Philosophie","Krit. Jahrb. Philos."
"Kumamoto Journal of Mathematics","Kumamoto J. Math."
"Kuwait Journal of Science & Engineering","Kuwait J. Sci. Eng."
"Kwansei Gakuin University","Kwansei Gakuin Univ. Nat. Sci. Rev."
"Kwartalnik Historii Nauki i Techniki","Kwart. Hist. Nauk. Tech."
"Kybernetes","Kybernetes"
"Kybernetika","Kybernetika (Prague)"
"Kybernetika","Kybernetika (Prague) Suppl."
"Kyungpook National University","Kyungpook Math. J."
"Kyushu Journal of Mathematics","Kyushu J. Math."
"LMS Journal of Computation and Mathematics","LMS J. Comput. Math."
"Language, Speech, and Communication","Lang. Speech Commun."
"Latviy skaya Akademiya Nauk","Latv. Mat. Ezhegodnik"
"Lecturas Matemáticas","Lect. Mat."
"Lecture Notes in Computational Science and Engineering","Lect. Notes Comput. Sci. Eng."
"Lecture Notes in Logic","Lecture Notes Logic"
"Lecture Notes in Numerical and Applied Analysis","Lecture Notes Numer. Appl. Anal."
"Lecture Notes Series","Lecture Notes Ser."
"Lecture Notes Series on Computing","Lecture Notes Ser. Comput."
"Lecture Notes in Artif. Intell.","Lecture Notes in Artif. Intell."
"Lecture Notes in Biomathematics","Lecture Notes in Biomath."
"Lecture Notes in Chemistry","Lecture Notes in Chem."
"Lecture Notes in Computer Science","Lecture Notes in Comput. Sci."
"Lecture Notes in Control and Information Sciences","Lecture Notes in Control and Inform. Sci."
"Lecture Notes in Economics and Mathematical Systems","Lecture Notes in Econom. and Math. Systems"
"Lecture Notes in Mathematics","Lecture Notes in Math."
"Lecture Notes in Physics","Lecture Notes in Phys."
"Lecture Notes in Physics","Lecture Notes in Phys. New Ser. m Monogr."
"Lecture Notes in Pure and Applied Mathematics","Lecture Notes in Pure and Appl. Math."
"Lecture Notes in Statistics","Lecture Notes in Statist."
"Lectures in Mathematics ETH Zürich","Lectures Math. ETH Zürich"
"Lectures in Applied Mathematics","Lectures in Appl. Math."
"Lehrbuch Mathematik","Lehrbuch Math."
"Lehrbücher und Monographien zur Didaktik der Mathematik","Lehrbücher Monogr. Didakt. Math."
"Leitfäden der Angewandten Mathematik und Mechanik","Leitfäden Angew. Math. Mech."
"Leitfäden der Informatik","Leitfäden Inform."
"Leitfäden und Monographien der Informatik","Leitfäden Monogr. Inform."
"Leningradskiy Gosudarstvennyy Ordena Lenina Universitet imeni A","Leningrad. Gos. Univ. Uchen. Zap. Ser. Mat. Nauk"
"Letters in Mathematical Physics","Lett. Math. Phys."
"Leuven Notes in Mathematical and Theoretical Physics","Leuven Notes Math. Theoret. Phys. Ser. B Theoret. Particle Phys."
"Lezioni Lincee","Lezioni Lincee"
"Library of Engineering Mathematics","Lib. Eng. Math."
"Libertas Mathematica","Libertas Math."
"Library of Theoria","Libr. Theor."
"Matematikos ir Informatikos Institutas","Liet. Mat. Rink."
"Lifetime Data Analysis","Lifetime Data Anal."
"Linear Algebra and its Applications","Linear Algebra Appl."
"Linear Topological Spaces and Complex Analysis","Linear Topol. Spaces Complex Anal."
"Linear and Multilinear Algebra","Linear and Multilinear Algebra"
"Linköping Studies in Science and Technology","Linköping Stud. Sci. Tech. Diss."
"Lithuanian Mathematical Journal","Lithuanian Math. J."
"Logic Journal of the IGPL","Log. J. IGPL"
"Logica Trianguli","Log. Trianguli"
"Logic and Computation in Philosophy","Logic Comput. Philos."
"Logic and Logical Philosophy","Logic Log. Philos."
"Logica Nova","Logica Nova"
"Logique et Analyse","Logique et Anal. (N.S.)"
"London Mathematical Society Lecture Note Series","London Math. Soc. Lecture Note Ser."
"London Mathematical Society Monographs","London Math. Soc. Monogr. (N.S.)"
"London Mathematical Society Student Texts","London Math. Soc. Stud. Texts"
"M&T Series","M&T Ser."
"M","M. B. Porter Lectures"
"MAA Notes","MAA Notes"
"MAA Spectrum","MAA Spectrum"
"Modeling, Identification and Control","MIC---Model. Identif. Control"
"MIT Press Series in Artif. Intell.","MIT Press Ser. Artif. Intell."
"MIT Press Series on Economic Learning and Social Evolution","MIT Press Ser. Econ. Learn. Soc. Evol."
"MIT Press Series in Logic Programming","MIT Press Ser. Logic Program."
"MLQ","MLQ Math. Log. Q."
"Mathematical Reviews","MR"
"Machine Intelligence and Pattern Recognition","Mach. Intelligence Pattern Recogn."
"Macroeconomic Dynamics","Macroecon. Dyn."
"Maghreb Mathematical Review","Maghreb Math. Rev."
"Magnetohydrodynamics","Magnetohydrodynamics"
"Akademiya Nauk Latviiskoy SSR","Magnit. Gidrodinamika"
"Major American Universities Ph","Major Amer. Univ. Ph.D. Qualif. Questions Solut."
"Makedonska Akademija na Naukite i Umetnostite","Makedon. Akad. Nauk. Umet. Oddel. Mat.-Tehn. Nauk. Prilozi"
"Manuscripta Mathematica","Manuscripta Math."
"Markov Processes and Related Fields","Markov Process. Related Fields"
"Masters of Modern Physics","Masters Modern Phys."
"Maszyny Przepływowe","Masz. Przepływ."
"Sociedade Brasiliera de Matemática Applicada e Computacional","Mat. Apl. Comput."
"Matematichki Bilten","Mat. Bilten"
"Matemática Contemporânea","Mat. Contemp."
"Matematicheskaya Fizika, Analiz, Geometriya","Mat. Fiz. Anal. Geom."
"Akademiya Nauk Ukrainy","Mat. Fiz. Neliney n. Mekh."
"Matematikai Lapok","Mat. Lapok (N.S.)"
"Matematisk-fysiske Meddelelser","Mat. Medd. Danske Vid. Selsk."
"Akademiya Nauk Ukrainy","Mat. Metody i Fiz.-Mekh. Polya"
"Rossíiskaya Akademiya Nauk","Mat. Model."
"\cyr Matematika i ee Prilozheniya","Mat. Prilozh."
"Rossíiskaya Akademiya Nauk","Mat. Sb."
"Roczniki Polskiego Towarzystwa Matematycznego","Mat. Stos."
"Matematichki Vesnik","Mat. Vesnik"
"Rossíiskaya Akademiya Nauk","Mat. Zametki"
"Match","Match"
"Le Matematiche","Matematiche (Catania)"
"Mathematische Annalen","Math. Ann."
"Mathématiques Appliquées","Math. Appl."
"Mathematics and its Applications (China Series)","Math. Appl. (China Ser.)"
"Mathematica Balkanica","Math. Balkanica (N.S.)"
"Mathematical Biosciences","Math. Biosci."
"Mathematics and Biosciences in Interaction","Math. Biosci. Interact."
"Academy of Sciences of the Czech Republic","Math. Bohem."
"Mathematical Chemistry Series","Math. Chem. Ser."
"Mathematical Communications","Math. Commun."
"Mathematics of Computation","Math. Comp."
"Mathematical and Computer Modelling of Dynamical Systems","Math. Comput. Model. Dyn. Syst."
"Mathematical and Computer Modelling","Math. Comput. Modelling"
"Mathematics and Computers in Simulation","Math. Comput. Simulation"
"Mathematical Concepts and Methods in Science and Engineering","Math. Concepts Methods Sci. Eng."
"Mathematics of Control, Signals, and Systems","Math. Control Signals Systems"
"Mathematical Education","Math. Ed."
"The Mathematics Education","Math. Ed. (Siwan)"
"Mathematics Education Library","Math. Ed. Lib."
"Mathematical Engineering in Industry","Math. Eng. Indust."
"Mathematical Finance","Math. Finance"
"Mathematical Geology","Math. Geol."
"Mathematical Inequalities & Applications","Math. Inequal. Appl."
"Mathématiques Informatique et Sciences Humaines","Math. Inform. Sci. Humaines"
"Mathematik für Ingenieure und Naturwissenschaftler","Math. Ingen. Naturwiss."
"The Mathematical Intelligencer","Math. Intelligencer"
"Mathematical Journal of Ibaraki University","Math. J. Ibaraki Univ."
"Mathematical Journal of Okayama University","Math. J. Okayama Univ."
"Mathematics Journal of Toyama University","Math. J. Toyama Univ."
"Mathematica Japonica","Math. Japon."
"Mathematische Leitfäden","Math. Leitfäden"
"Mathematical Logic Quarterly","Math. Logic Quart."
"Mathematics Magazine","Math. Mag."
"Mathematics and Mechanics of Solids","Math. Mech. Solids"
"Mathematical Medley","Math. Medley"
"Mathematical Methods in the Applied Sciences","Math. Methods Appl. Sci."
"Mathematical Methods of Operations Research","Math. Methods Oper. Res."
"Mathematical Methods of Statistics","Math. Methods Statist."
"Mathematical Modeling","Math. Model."
"Mathematical Modelling of Systems","Math. Model. Systems"
"Mathematical Modelling: Theory and Applications","Math. Model. Theory Appl."
"Mathematical Modeling and Computational Experiment","Math. Modeling Comput. Experiment"
"Mathematical Modelling and Scientific Computing","Math. Modelling Sci. Comput."
"Mathematical Models & Methods in Applied Sciences","Math. Models Methods Appl. Sci."
"Mathematica Montisnigri","Math. Montisnigri"
"Mathematische Nachrichten","Math. Nachr."
"Mathematicae Notae","Math. Notae"
"Mathematical Notes","Math. Notes"
"Mathematica Numerica Sinica","Math. Numer. Sin."
"Mathematica Numerica Sinica","Math. Numer. Sinica"
"Mathematics of Operations Research","Math. Oper. Res."
"Mathematica Pannonica","Math. Pannon."
"Mathematical Physics and Applied Mathematics","Math. Phys. Appl. Math."
"Mathematical Physics Electronic Journal","Math. Phys. Electron. J."
"Mathematical Physics Studies","Math. Phys. Stud."
"Mathematics in Practice and Theory","Math. Practice Theory"
"Mathematical Proceedings of the Cambridge Philosophical Society","Math. Proc. Cambridge Philos. Soc."
"Mathematical Programming","Math. Programming"
"Mathematical Research","Math. Res."
"Mathematical Research Letters","Math. Res. Lett."
"Mathematica Scandinavica","Math. Scand."
"The Mathematical Scientist","Math. Sci."
"Mathematics in Science and Engineering","Math. Sci. Eng."
"Mathematical Sciences Reference Series","Math. Sci. Ref. Ser."
"Mathematical Sciences Research Hot-Line","Math. Sci. Res. Hot-Line"
"Mathematical Sciences Research Institute Publications","Math. Sci. Res. Inst. Publ."
"Mathematische Semesterberichte","Math. Semesterber."
"Mathematica Slovaca","Math. Slovaca"
"Mathematical Social Sciences","Math. Social Sci."
"Mathematical Structures in Computer Science","Math. Structures Comput. Sci."
"The Mathematics Student","Math. Student"
"Mathematical Surveys and Monographs","Math. Surveys Monogr."
"Mathematische Texte","Math. Texte"
"Mathematics Today","Math. Today"
"Mathematics Today (Ahmedabad)","Math. Today (Ahmedabad)"
"Mathematics Today","Math. Today (Southend-on-Sea)"
"Mathematical Topics","Math. Top."
"Mathematical World","Math. World"
"Mathematische Zeitschrift","Math. Z."
"Mathematisch-Astronomische Blätter---Neue Folge","Math.-Astronom. Blätter---N.F."
"Mathematica","Mathematica"
"Académie Roumaine","Mathematica (Cluj)"
"Mathematika","Mathematika"
"Mathesis","Mathesis"
"Mathware & Soft Computing","Mathware Soft Comput."
"Mathématiques","Mathématiques"
"Matimyás Matematika","Matimyás Mat."
"Meccanica","Meccanica"
"Mechanical Engineering Series","Mech. Eng. Ser."
"Mechanics Research Communications","Mech. Res. Comm."
"Mechanics of Structures and Machines","Mech. Structures Mach."
"Mededelingen van de Koninklijke Academie voor Wetenschappen, Letteren en Schone Kunsten van België","Med. Konink. Acad. Wetensch. België"
"Mededelingen van het Wiskundig Genootschap","Meded. Wiskd. Genoot."
"Accademia delle Scienze di Torino","Mem. Accad. Sci. Torino Cl. Sci. Fis. Mat. Natur. (5)"
"Memoirs of the American Mathematical Society","Mem. Amer. Math. Soc."
"Memoirs of the American Philosophical Society","Mem. Amer. Philos. Soc."
"Memoirs of the College of Education Akita University","Mem. College Ed. Akita Univ. Natur. Sci."
"Georgian Academy of Sciences","Mem. Differential Equations Math. Phys."
"Kumamoto University","Mem. Fac. Ed. Kumamoto Univ. Natur. Sci."
"Memoirs of the Faculty of Education","Mem. Fac. Educ. Shiga Univ. Nat. Sci."
"Memoirs of the Faculty of Engineering and Design Kyoto Institute of Technology","Mem. Fac. Eng. Design Kyoto Inst. Tech. Ser. Sci. Tech."
"Memoirs of the Faculty of Engineering Hiroshima University","Mem. Fac. Eng. Hiroshima Univ."
"Memoirs of the Faculty of Engineering Miyazaki University","Mem. Fac. Eng. Miyazaki Univ."
"Kumamoto University","Mem. Fac. Gen. Ed. Kumamoto Univ. Natur. Sci."
"Memoirs of the Faculty of Science and Engineering Shimane University","Mem. Fac. Sci. Eng. Shimane Univ. Ser. B Math. Sci."
"Kochi University","Mem. Fac. Sci. Kochi Univ. Ser. A Math."
"Memoirs of the Institute of Science and Engineering","Mem. Inst. Sci. Eng. Ritsumeikan Univ."
"Memoirs of the Muroran Institute of Technology","Mem. Muroran Inst. Technol."
"Memoirs of the National Defense Academy","Mem. Nat. Defense Acad."
"Memoirs of the Osaka Institute of Technology","Mem. Osaka Inst. Tech. Ser. A"
"Memoirs of Osaka Kyoiku University","Mem. Osaka Kyoiku Univ. III Natur. Sci. Appl. Sci."
"Memorias de la Real Academia de Ciencias y Artes de Barcelona","Mem. Real Acad. Cienc. Artes Barcelona"
"Memorias de la Real Academia de Ciencias Exactas, Físicas y Naturales de Madrid","Mem. Real Acad. Cienc. Exact. Fís. Natur. Madrid"
"Memoirs of the School of Science and Engineering","Mem. School Sci. Eng. Waseda Univ."
"Academia Română","Mem. Secţ. Ştiinţ. Acad. Română Ser. IV"
"Memoirs","Memoirs"
"Menemui Matematik","Menemui Mat."
"Metalogicon","Metalogicon"
"Metatemas","Metatemas"
"Methoden und Verfahren der Mathematischen Physik","Methoden Verfahren Math. Phys."
"Methods and Applications of Analysis","Methods Appl. Anal."
"Methods of Experimental Physics","Methods Experiment. Phys."
"Methods of Functional Analysis and Topology","Methods Funct. Anal. Topology"
"Metody Diskretnogo Analiza","Metody Diskret. Anal."
"\cyr Metody Matematicheskogo Modelirovaniya","Metody Mat. Model."
"Leningradskiy Ordena Lenina Gosudarstvennyy Universitet imeni A","Metody Vychisl."
"Metrika","Metrika"
"Metroeconomica","Metroeconomica"
"Metron","Metron"
"The Michigan Mathematical Journal","Michigan Math. J."
"Mind","Mind"
"Miscelánea Matemática","Miscelánea Mat."
"Missouri Journal of Mathematical Sciences","Missouri J. Math. Sci."
"Mitteilungen der Deutschen Mathematiker-Vereinigung","Mitt. Dtsch. Math.-Ver."
"Mitteilungen der Gesellschaft für Angewandte Mathematik und Mechanik","Mitt. Ges. Angew. Math. Mech."
"Mitteilungen der Mathematischen Gesellschaft in Hamburg","Mitt. Math. Ges. Hamburg"
"Mitteilungen aus dem Mathematischen Seminar Giessen","Mitt. Math. Sem. Giessen"
"Zur Modernen Deutung der Aristotelischen Logik","Mod. Deutung Aristot. Log."
"Modern Probability and Statistics","Mod. Probab. Stat."
"Rossíiskaya Akademiya Nauk","Model. Mekh."
"Modeling and Simulation in Science, Engineering, & Technology","Model. Simul. Sci. Eng. Technol."
"Modern Approaches in Geophysics","Modern Approaches Geophys."
"Modern Logic","Modern Logic"
"Modern Physics Letters A","Modern Phys. Lett. A"
"Modern Physics Letters B","Modern Phys. Lett. B"
"Modular Mathematics Series","Modular Math. Ser."
"Mohu Xitong yu Shuxue","Mohu Xitong yu Shuxue"
"Momenti e Problemi della Storia del Pensiero","Momenti Probl. Storia Pensiero"
"Monatshefte für Mathematik","Monatsh. Math."
"Monograph","Monogr."
"Monografías de la Academia de Ciencias Exactas, Físicas, Químicas y Naturales de Zaragoza","Monogr. Acad. Ci. Exact. Fís.-Quím. Nat. Zaragoza"
"Monografías Ciencia y Tecnología","Monogr. Cienc. Tecnol."
"Monographs in Computer Science","Monogr. Comput. Sci."
"Monographs in Contemporary Mathematics","Monogr. Contemp. Math."
"Monografii Matematice","Monogr. Mat."
"Monographs in Mathematics","Monogr. Math."
"Monographs on Numerical Analysis","Monogr. Numer. Anal."
"Monographs on Statistics and Applied Probability","Monogr. Statist. Appl. Probab."
"Monographs and Textbooks in Pure and Applied Mathematics","Monogr. Textbooks Pure Appl. Math."
"Monographs in Theoretical Computer Science","Monogr. Theoret. Comput. Sci. EATCS Ser."
"Monografie","Monografie"
"Monte Carlo Methods and Applications","Monte Carlo Methods Appl."
"Monte Verità","Monte Verità"
"Montroll Memorial Lecture Series in Mathematical Physics","Montroll Memorial Lecture Ser. Math. Phys."
"The Morgan Kaufmann Series in Computer Graphics and Geometric Modeling","Morgan Kaufmann Ser. Comput. Graph. Geom. Model."
"The Morgan Kaufmann Series in Data Management Systems","Morgan Kaufmann Ser. Data Management Systems"
"Moscow University Computational Mathematics and Cybernetics","Moscow Univ. Comput. Math. Cybernet."
"Moscow University Mathematics Bulletin","Moscow Univ. Math. Bull."
"Multibody System Dynamics","Multibody Syst. Dyn."
"Multidimensional Systems and Signal Processing","Multidimens. Systems Signal Process."
"Mémoires de la Société Mathématique de France","Mém. Soc. Math. Fr. (N.S.)"
"Mémoires de la Société Mathématique de France","Mém. Soc. Math. France (N.S.)"
"Méthodes Mathématiques pour l'Ingénieur","Méthodes Math. Ingr."
"Méthodes et Pratiques de l'Ingénieur","Méthodes Prat. Ingén."
"NATO Advanced Science Institutes Series, Series I: Global Environmental Change","NATO ASI Ser. Ser. I Glob. Environ. Change"
"NATO Advanced Science Institutes Series B: Physics","NATO Adv. Sci. Inst. Ser. B Phys."
"NATO Advanced Science Institutes Series C: Mathematical and Physical Sciences","NATO Adv. Sci. Inst. Ser. C Math. Phys. Sci."
"NATO Advanced Science Institutes Series E: Applied Sciences","NATO Adv. Sci. Inst. Ser. E Appl. Sci."
"NATO Advanced Science Institutes Series F: Computer and Systems Sciences","NATO Adv. Sci. Inst. Ser. F Comput. Systems Sci."
"Nachrichten der Akademie der Wissenschaften in Göttingen","Nachr. Akad. Wiss. Göttingen Math.-Phys. Kl. II"
"Nagoya Mathematical Journal","Nagoya Math. J."
"Nanjing Daxue Xuebao","Nanjing Daxue Xuebao Shuxue Bannian Kan"
"Nanjing Daxue Xuebao","Nanjing Daxue Xuebao Ziran Kexue Ban"
"NanoScience and Technology","NanoSci. Technol."
"National Academy of Science Letters","Nat. Acad. Sci. Lett."
"Natur und Philosophie","Nat. Philos."
"Natural Resource Modeling","Natur. Resource Modeling"
"Natural Sciences Journal of Harbin Normal University","Natur. Sci. J. Harbin Normal Univ."
"Natural Science Journal of Xiangtan University","Natur. Sci. J. Xiangtan Univ."
"Natural Science Report of the Ochanomizu University","Natur. Sci. Rep. Ochanomizu Univ."
"\cyr Nauchno-Biograficheskaya Literatura","Nauchno-Biograf. Lit."
"Naval Research Logistics","Naval Res. Logist."
"Needham Research Institute Studies","Needham Res. Inst. Stud."
"Neimenggu Daxue Xuebao","Neimenggu Daxue Xuebao Ziran Kexue"
"Neimenggu Shida Xuebao","Neimenggu Shida Xuebao Ziran Kexue Hanwen Ban"
"The Nepali Mathematical Sciences Report","Nepali Math. Sci. Rep."
"Networks","Networks"
"Neural Network Systems Techniques and Applications","Neural Netw. Syst. Tech. Appl."
"Neural, Parallel & Scientific Computations","Neural Parallel Sci. Comput."
"New Astronomy Reviews","New Astron. Rev."
"New ICMI Studies Series","New ICMI Stud. Ser."
"New Mathematical Library","New Math. Library"
"New Series","New Ser."
"New York Journal of Mathematics","New York J. Math."
"New Zealand Journal of Mathematics","New Zealand J. Math."
"New Zealand Mathematical Society Newsletter","New Zealand Math. Soc. Newslett."
"Nieuw Archief voor Wiskunde","Nieuw Arch. Wisk. (4)"
"Nihonkai Mathematical Journal","Nihonkai Math. J."
"NoDEA","NoDEA Nonlinear Differential Equations Appl."
"Nonconvex Optimization and its Applications","Nonconvex Optim. Appl."
"Nonlinear Analysis","Nonlinear Anal."
"Nonlinear Analysis Forum","Nonlinear Anal. Forum"
"Nonlinear Dynamics","Nonlinear Dynam."
"Nonlinear Phenomena and Complex Systems","Nonlinear Phenom. Complex Systems"
"Nonlinear Science Today","Nonlinear Sci. Today"
"Nonlinear Studies","Nonlinear Stud."
"Nonlinear World","Nonlinear World"
"Nonlinearity","Nonlinearity"
"Nordic Journal of Computing","Nordic J. Comput."
"Nordic Journal of Philosophical Logic","Nordic J. Philos. Logic"
"Normat","Normat"
"North-Holland Mathematical Library","North-Holland Math. Library"
"North-Holland Mathematics Studies","North-Holland Math. Stud."
"North-Holland Series in Applied Mathematics and Mechanics","North-Holland Ser. Appl. Math. Mech."
"Northeastern Mathematical Journal","Northeast. Math. J."
"Notas de Lógica Matemática","Notas Lógica Mat."
"Notas de Matemática Discreta","Notas Mat. Discreta"
"Notas de la Sociedad de Matemática de Chile","Notas Soc. Mat. Chile"
"Note di Matematica","Note Mat."
"Notes on Intuitionistic Fuzzy Sets","Notes IFS"
"Notes on Number Theory and Discrete Mathematics","Notes Number Theory Discrete Math."
"Notes on Numerical Fluid Mechanics","Notes Numer. Fluid Mech."
"Notes and Records of the Royal Society of London","Notes and Records Roy. Soc. London"
"Notices of the American Mathematical Society","Notices Amer. Math. Soc."
"Notre Dame Journal of Formal Logic","Notre Dame J. Formal Logic"
"Nouvelle Bibliothèque Mathématique","Nouv. Bibl. Math."
"Deutsche Akademie der Naturforscher Leopoldina","Nova Acta Leopoldina (N.F.)"
"Nova Journal of Mathematics, Game Theory and Algebra","Nova J. Math. Game Theory Algebra"
"Nova Journal of Theoretical Physics","Nova J. Theor. Phys."
"Novi Sad Journal of Mathematics","Novi Sad J. Math."
"\cyr Novoe v Global\cprime nom Analize","Novoe Global. Anal."
"Noûs","Noûs"
"Nuclear Physics","Nuclear Phys. B"
"Nuclear Physics B","Nuclear Phys. B Proc. Suppl."
"Numerical Algorithms","Numer. Algorithms"
"Numerical Functional Analysis and Optimization","Numer. Funct. Anal. Optim."
"Numerical Linear Algebra with Applications","Numer. Linear Algebra Appl."
"Numerische Mathematik","Numer. Math."
"Numerical Mathematics","Numer. Math. J. Chinese Univ."
"Numerical Mathematics","Numer. Math. J. Chinese Univ. (English Ser.)"
"Numerical Mathematics and Scientific Computation","Numer. Math. Sci. Comput."
"Numerical Methods for Partial Differential Equations","Numer. Methods Partial Differential Equations"
"Istituto e Museo di Storia della Scienza Firenze","Nuncius Ann. Storia Sci."
"Società Italiana di Fisica","Nuovo Cimento A (11)"
"Società Italiana di Fisica","Nuovo Cimento B (11)"
"Il Nuovo Cimento della Società Italiana di Fisica","Nuovo Cimento Soc. Ital. Fis. A (12)"
"Il Nuovo Cimento della Società Italiana di Fisica","Nuovo Cimento Soc. Ital. Fis. B (12)"
"Nur al-Mantiq wal-Ma\rasp rifah","Nur al-Mantiq wal-Ma\rasp rifah"
"Operations Research Spektrum","OR Spektrum"
"Društvo Matematikov, Fizikov in Astronomov Slovenije","Obzornik Mat. Fiz."
"Akademiya Nauk Ukrainy","Ocherki Istor. Estestvoznan. Tekhn."
"Octogon Mathematical Magazine","Octogon Math. Mag."
