"""Brevia""","Brevia (Rome)"
"Empire state report","Emp State Rep"
"Empirical economics","Empir Econ"
"Empleo y desempleo","Empl Desempl"
"Employee benefit plan review","Employee Benefit Plan Rev"
"Employee benefits journal","Empl Benefits J"
"Employee health & fitness","Empl Health Fit"
"Employee relations law journal","Employee Relat Law J"
"Employment relations today","Employ Relat Today"
"En familia (Santo Domingo, Dominican Republic)","Familia"
"Enantiomer","Enantiomer"
"Encounter","Encounter"
"Endeavour","Endeavour"
"Endocrine","Endocrine"
"Endocrine development","Endocr Dev"
"Endocrine journal","Endocr J"
"Endocrine pathology","Endocr Pathol"
"Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists","Endocr Pract"
"Endocrine regulations","Endocr Regul"
"Endocrine research","Endocr Res"
"Endocrine research communications","Endocr Res Commun"
"Endocrine reviews","Endocr Rev"
"Endocrine, metabolic & immune disorders drug targets","Endocr Metab Immune Disord Drug Targets"
"Endocrine-related cancer","Endocr Relat Cancer"
"Endocrinologia e scienza della costituzione","Endocrinol Sci Cost"
"Endocrinologia experimentalis","Endocrinol Exp"
"Endocrinologia japonica","Endocrinol Jpn"
"Endocrinologia y terapeutica","Endocr Terap"
"Endocrinologie","Endocrinologie"
"Endocrinology","Endocrinology"
"Endocrinology and metabolism clinics of North America","Endocrinol Metab Clin North Am"
"Endodoncia","Endodoncia (Mex)"
"Endodoncia (Madrid, Spain)","Endodoncia"
"Endodontic practice","Endod Prac"
"Endodontics & dental traumatology","Endod Dent Traumatol"
"Endokrinologie","Endokrinologie"
"Endokrynologia Polska","Endokrynol Pol"
"Endokrynologia, diabetologia i choroby przemiany materii wieku rozwojowego : organ Polskiego Towarzystwa Endokrynologow Dzieciecych","Endokrynol Diabetol Chor Przemiany Materii Wieku Rozw"
"Endoscopic surgery and allied technologies","Endosc Surg Allied Technol"
"Endoscopy","Endoscopy"
"Endothelium : journal of endothelial cell research","Endothelium"
"Energy & fuels : an American Chemical Society journal","Energy Fuels"
"Energy policy","Energy Policy"
"Enfance; psychologie, pedagogie, neuropsychiatrie, sociologie","Enfance"
"Enfermedades del torax","Enferm Torax"
"Enfermedades infecciosas y microbiologia clinica","Enferm Infecc Microbiol Clin"
"Enfermeras","Enfermeras"
"Enfermeria","Enfermeria"
"Enfermeria clinica","Enferm Clin"
"Enfermeria intensiva / Sociedad Espanola de Enfermeria Intensiva y Unidades Coronarias","Enferm Intensiva"
"Enfoque","Enfoque"
"Enfoque feminista","Enfoque Fem"
"Enfoques en atencion primaria","Enfoques Aten Prim"
"Engage/social action","Engage Soc Action"
"Engineering and science","Eng Sci"
"Engineering in medicine","Eng Med"
"English language notes","Engl Lang Notes"
"Enlace. Inter-American Commission of Women","Enlace"
"Eno Fo","ENO FO"
"Enquetes du Musee de la vie wallonne","Enquetes Mus Vie Wallonne"
"Entomologia Sinica","Zhongguo kun chong xue|Entomol. Sin."
"Entomologia experimentalis et applicata","Entomol Exp Appl"
"Entomological news","Entomol News"
"Entre nous (Copenhagen, Denmark)","Entre Nous Cph Den"
"Entscheidungen des Bundesgerichtshofes in Zivilsachen. Germany (West). Bundesgerichtshof","Entscheid Bundesgerichtshofes Zivilsachen"
"Environment","Environment"
"Environment & planning A","Environ Plan A"
"Environment and behavior","Environ Behav"
"Environment and planning. B, Planning & design","Environ Plann B Plann Des"
"Environment and planning. C, Government & policy","Environ Plann C Gov Policy"
"Environment and planning. D, Society & space","Environ Plan D"
"Environment and urbanization","Environ Urban"
"Environment folio","Environ Folio"
"Environment international","Environ Int"
"Environmental Change and Security Project report","Environ Change Secur Proj Rep"
"Environmental Review","Environ Rev"
"Environmental action","Environ Aciton"
"Environmental affairs","Environ Aff"
"Environmental and experimental botany","Environ Exp Bot"
"Environmental and molecular mutagenesis","Environ Mol Mutagen"
"Environmental biology and medicine","Environ Biol Med"
"Environmental biosafety research","Environ Biosafety Res"
"Environmental conservation","Environ Conserv"
"Environmental education and information","Environ Educ Inf"
"Environmental entomology","Environ Entomol"
"Environmental ethics","Environ Ethics"
"Environmental geochemistry and health","Environ Geochem Health"
"Environmental health : a global access science source","Environ Health"
"Environmental health perspectives","Environ Health Perspect"
"Environmental health series. [RH] Radiological health","Environ Health Ser [Radiol Health]"
"Environmental history review : EHR : a publication of the American Society for Environmental History","Environ Hist Rev"
"Environmental impact assessment review","Environ Impact Assess Rev"
"Environmental law (Northwestern School of Law)","Environ Law"
"Environmental letters","Environ Lett"
"Environmental management","Environ Manage"
"Environmental medicine : annual report of the Research Institute of Environmental Medicine, Nagoya University","Environ Med"
"Environmental microbiology","Environ Microbiol"
"Environmental monitoring and assessment","Environ Monit Assess"
"Environmental mutagenesis","Environ Mutagen"
"Environmental physiology & biochemistry","Environ Physiol Biochem"
"Environmental politics","Env Polit"
"Environmental pollution (Barking, Essex : 1987)","Environ Pollut"
"Environmental quality and safety","Environ Qual Saf"
"Environmental quality and safety. Supplement","Environ Qual Saf Suppl"
"Environmental quality; annual report of the Council on Environmental Quality","Environ Qual Annu Rep Counc Environ Qual"
"Environmental research","Environ Res"
"Environmental science & technology","Environ Sci Technol"
"Environmental science and pollution research international","Environ Sci Pollut Res Int"
"Environmental sciences : an international journal of environmental physiology and toxicology","Environ Sci"
"Environmental technology","Environ Technol"
"Environmental toxicology","Environ Toxicol"
"Environmental toxicology and chemistry / SETAC","Environ Toxicol Chem"
"Environmental toxicology and pharmacology","Environ Toxicol Pharmacol"
"Environmental values","Environ Values"
"Environments","Environments"
"Environmetrics (London, Ont.)","Environmetrics"
"Environnement africain","Environ Afr"
"Enzyme","Enzyme"
"Enzyme & protein","Enzyme Protein"
"Enzyme and microbial technology","Enzyme Microb Technol"
"Enzymologia","Enzymologia"
"Enzymologia biologica et clinica","Enzymol Biol Clin (Basel)"
"Eos","Eos (Washington DC)"
"Eos (Rome, Italy)","EOS"
"Epatologia","Epatologia"
"Epeirotike hestia","Epeirotike Hestia"
"Epeteris Hetaireias Stereoelladikon Meleton","Epet Etaireias Stereoelladikon Meleton"
"Epheta; revista de enfermeria y accion social","Epheta"
"Epidemiologia e prevenzione","Epidemiol Prev"
"Epidemiologia e psichiatria sociale","Epidemiol Psichiatr Soc"
"Epidemiologic perspectives & innovations : EP+I","Epidemiol Perspect Innov"
"Epidemiologic reviews","Epidemiol Rev"
"Epidemiological bulletin","Epidemiol Bull"
"Epidemiologie, mikrobiologie, imunologie : casopis Spolecnosti pro epidemiologii a mikrobiologii Ceske lekarske spolecnosti J.E. Purkyne","Epidemiol Mikrobiol Imunol"
"Epidemiology (Cambridge, Mass.)","Epidemiology"
"Epidemiology and community health","Epidemiol Community Health"
"Epidemiology and infection","Epidemiol Infect"
"Epigenetics : official journal of the DNA Methylation Society","Epigenetics"
"Epigraphica","Epigraphica"
"Epigraphische Studien","Epigraph Stud"
"Epilepsia","Epilepsia"
"Epilepsy & behavior : E&B","Epilepsy Behav"
"Epilepsy currents / American Epilepsy Society","Epilepsy Curr"
"Epilepsy research","Epilepsy Res"
"Epilepsy research. Supplement","Epilepsy Res Suppl"
"Epileptic disorders : international epilepsy journal with videotape","Epileptic Disord"
"Epione","Epione"
"Episteme; rivista critica di storia delle scienze mediche e biologiche","Episteme"
"Epithelial cell biology","Epithelial Cell Biol"
"Epitheorese Koinonikon Ereunon","Epitheor Koin Ereun"
"Epopteia","Epopteia"
"Equilibrium","Equilibrium"
"Equine veterinary journal","Equine Vet J"
"Equine veterinary journal. Supplement","Equine Vet J Suppl"
"Equinoxe (Cayenne, French Guiana)","Equinoxe"
"Era socialista","Era Social"
"Erdkunde","Erdkunde"
"Erdkundliches Wissen","Erdkd Wissen"
"Erfahrungsheilkunde","Erfahrungsheilkunde"
"Ergebnisse der Anatomie und Entwicklungsgeschichte","Ergeb Anat Entwicklungsgesch"
"Ergebnisse der Biologie","Ergeb Biol"
"Ergebnisse der Chirurgie und Orthopadie","Ergeb Chir Orthop"
"Ergebnisse der Enzymforschung","Ergeb Enzymforsch"
"Ergebnisse der Hygiene, Bakteriologie, Immunitatsforschung und experimentellen Therapie","Ergeb Hyg Bakteriol Immunitatsforsch Exp Ther"
"Ergebnisse der Mikrobiologie, Immunitatsforschung und experimentellen Therapie","Ergeb Mikrobiol Immunitatsforsch Exp Ther"
"Ergebnisse der Physiologie, biologischen Chemie und experimentellen Pharmakologie","Ergeb Physiol"
"Ergebnisse der allgemeinen Pathologie und pathologischen Anatomie","Ergeb Allg Pathol Pathol Anat"
"Ergebnisse der gesamten Tuberkuloseforschung","Ergeb Gesamten Tuberkuloseforsch"
"Ergebnisse der inneren Medizin und Kinderheilkunde","Ergeb Inn Med Kinderheilkd"
"Ergonomics","Ergonomics"
"Ergonomics in design : the magazine of human factors applications","Ergon Des"
"Ernahrungsforschung. Berichte und Mitteilungen","Ernahrungsforsch Ber Mitt"
"Ernst Schering Foundation symposium proceedings","Ernst Schering Found Symp Proc"
"Ernst Schering Research Foundation workshop","Ernst Schering Res Found Workshop"
"Erziehung und Unterricht; osterreichische padagogische Zeitschrift","Erzieh Unterr"
"Esencia Odontologica","Esencia Odontol"
"Esope : bi-mensuel social, politique, economique / publie avec la collaboration de la S.E.D.D.E.S","Esope"
"Espace, populations, societes","Espace Popul Soc"
"Espaces et societes (Paris, France)","Espaces Soc"
"Espiral (Guadalajara, Mexico)","Espiral"
"Esprit (Paris, France : 1932)","Esprit"
"Esquire (New York, N.Y.)","Esquire"
"Essays and studies (London, England : 1950)","Essays Stud (Lond)"
"Essays in arts and sciences","Essays Arts Sci"
"Essays in biochemistry","Essays Biochem"
"Essays in fundamental immunology","Essays Fundam Immunol"
"Essays in neurochemistry and neuropharmacology","Essays Neurochem Neuropharmacol"
"Essence","Essence (Downsview)"
"Essential drugs monitor","Essent Drugs Monit"
"Essential psychopharmacology","Essent Psychopharmacol"
"Essex Institute historical collections","Essex Inst Hist Collect"
"Essex archaeology and history : the transactions of the Essex Archaeological Society","Trans Essex Archaeol Soc"
"Essex journal","Essex J"
"Estadistica","Estadastica"
"Estadistica panamena. Boletin","Estad Panamena"
"Estadistica panamena. Situacion demografica, seccion 231: Migracion internacional. Panama. Direccion de Estadistica y Censo","Estad Panamena Situac Demogr Secc 231 Migr Migr Int"
"Estadistica venezolana","Estad Venez"
"Este pais (Mexico City, Mexico)","Este Pais"
"Estodont/press","Estodont Press"
"Estomatologia","Estomatologia"
"Estomatologia e cultura","Estomatol Cult"
"Estudios (Madrid, Spain)","Estudios"
"Estudios clasicos","Estud Cl"
"Estudios de Asia y Africa","Estud Asia Afr"
"Estudios de cultura nahuatl","Estud Cult Nahuatl"
"Estudios de economia","Estud Econ"
"Estudios de historia novohispana","Estud Hist Novohisp"
"Estudios de historia social (Madrid, Spain)","Estud Hist Soc"
"Estudios de historia social y economica de America","Estud Hist Soc Econ Am"
"Estudios de poblacion","Estud Poblac"
"Estudios del Departamento de Historia Moderna. Universidad de Zaragoza. Departamento de Historia moderna","Estud Dep Hist Mod"
"Estudios demograficos y urbanos","Estud Demogr Urbanos Col Mex"
"Estudios geograficos","Estud Geogr"
"Estudios latinoamericanos (Mexico City, Mexico)","Estud Latinoam"
"Estudios migratorios latinoamericanos","Estud Migr Latinoam"
"Estudios paraguayos","Estud Parag"
"Estudios publicos / Centro de Estudios Publicos","Estud Publicos"
"Estudios rurales latinoamericanos","Estud Rurales Latinoam"
"Estudios segovianos","Estud Segov"
"Estudios sociales (Santo Domingo, Dominican Republic)","Estud Soc"
"Estudios sociales centroamericanos","Estud Soc Centroam"
"Estudios sociologicos (Mexico City, Mexico)","Estud Sociol"
"Estudis : revista de historia moderna","Estudis"
"Estudis historics i documents dels Arxius de Protocols / Col.legi Notarial de Barcelona","Estud Hist Doc Arxius Protoc"
"Estudis romanics","Estud Rom (Barcelona)"
"Estudos CEBRAP. Centro Brasileiro de Analise e Planejamento","Estud CEBRAP"
"Estudos de historia e saude","Estud Hist Saude"
"Estudos demograficos : revista do Gabinete de Estudos Demograficos do Instituto Nacional de Estatistica","Estud Demogr"
"Estudos economicos","Estud Econ"
"Estudos feministas","Estud Fem"
"Etc.; a review of general semantics","Etc"
"Ethical currents : a publication of the Center for Healthcare Ethics, St. Joseph Health System, and California Association of Catholic Hospitals","Ethical Currents"
"Ethical human psychology and psychiatry","Ethical Hum Psychol Psychiatry"
"Ethical human sciences and services : an international journal of critical inquiry","Ethical Hum Sci Serv"
"Ethical perspectives / Catholic University of Leuven ; European Centre for Christian Ethics","Ethical Perspect"
"Ethical theory and moral practice : an international forum","Ethical Theory Moral Pract"
"Ethics","Ethics"
"Ethics & behavior","Ethics Behav"
"Ethics & international affairs","Ethics Int Aff"
"Ethics & medicine : a Christian perspective on issues in bioethics","Ethics Med"
"Ethics and information technology","Ethics Inf Technol"
"Ethics and intellectual disability","Ethics Intellect Disabil"
"Ethics and medics","Ethics Medics"
"Ethics committee newsletter","Ethics Comm Newsl"
"Ethics in science & medicine","Ethics Sci Med"
"Ethik in der Medizin : Organ der Akademie fur Ethik in der Medizin","Ethik Med"
"Ethiopia observer","Ethiop Obs"
"Ethiopian journal of development research","Ethiop J Dev Res"
"Ethiopian medical journal","Ethiop Med J"
"Ethique","Ethique"
"Ethnic Groups","Ethnic Groups"
"Ethnic and racial studies","Ethn Racial Stud"
"Ethnic forum : bulletin of ethnic studies and ethnic bibliography","Ethn Forum"
"Ethnicity","Ethnicity"
"Ethnicity & disease","Ethn Dis"
"Ethnicity & health","Ethn Health"
"Ethnohistory (Columbus, Ohio)","Ethnohistory"
"Ethnologia Europaea","Ethnol Eur"
"Ethnologia Scandinavica","Ethnol Scand"
"Ethnologie francaise","Ethnol Fr"
"Ethnology","Ethnology"
"Ethnomedizin-Ethnomedicine","Ethnomedizin"
"Ethnos","Ethnos"
"Ethology : formerly Zeitschrift fur Tierpsychologie","Ethology"
"Ethology and sociobiology","Ethol Sociobiol"
"Ethos (Berkeley, Calif.)","Ethos"
"Etnografia polska","Etnogr Pol"
"Etnologiska studier","Etnol Stud"
"Etudes","Etudes (Paris)"
"Etudes & documents (Groupe de demographie africaine (France))","Etud Doc Groupe Demogr Afr"
"Etudes & expansion","Etud Expans"
"Etudes Statistiques","Etudes Stat Inst Natl Stat"
"Etudes Sur Les Soins Et Le Service Infirmier","Etud Soins Serv Infirm"
"Etudes anglaises (Periodical)","Etud Angl"
"Etudes balkaniques / Academie bulgare des sciences, Institut d'etudes balkaniques","Etud Balk"
"Etudes canadiennes. Canadian studies","Etud Can"
"Etudes classiques (Namur, Belgium)","Etud Class"
"Etudes d'histoire africaine","Etud Hist Afr"
"Etudes freudiennes","Etudes Freud"
"Etudes germaniques","Etud Ger"
"Etudes internationales","Etud Int"
"Etudes inuit. Inuit studies","Etud Inuit"
"Etudes irlandaises","Etud Irl"
"Etudes limousines","Etud Limousines"
"Etudes maliennes","Etudes Mali"
"Etudes napoleoniennes : bulletin historique de la Societe de sauvegarde du chateau imperial de Pont-de-Briques","Etud Napoleon"
"Etudes neo-natales. Neo-natal studies","Etudes Neonatales"
"Etudes polemologiques","Etud Polemol"
"Etudes rurales","Etud Rurales"
"Etudes rwandaises","Etudes Rwandaises"
"Etudes togolaises de population","Etud Togol Popul"
"Etudes vauclusiennes","Etud Vauclus"
"Etudes zairoises","Etud Zair"
"Eubios journal of Asian and international bioethics : EJAIB","Eubios J Asian Int Bioeth"
"Eugenics Society symposia","Eugen Soc Symp"
"Eugenics quarterly","Eugen Q"
"Eukaryotic cell","Eukaryot Cell"
"Europa Regional","Eur Reg"
"Europa ethnica","Eur Ethn"
"Europa medica. [Edicion espanola]","Eur Med (Paris)"
"Europa medicophysica","Eura Medicophys"
"Europa-Archiv","Europa Archiv"
"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology","Europace"
"Europe, outremer","Eur Om"
"Europe-Asia studies","Eur Asia Stud"
"Europe; revue litteraire mensuelle","Europe"
"European Quality Assurance Network newsletter / EuroQuan","Eur Qual Assur Netw Newsl"
"European addiction research","Eur Addict Res"
"European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery","Eur Arch Otorhinolaryngol"
"European archives of oto-rhino-laryngology. Supplement","Eur Arch Otorhinolaryngol Suppl"
"European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry","Eur Arch Paediatr Dent"
"European archives of psychiatry and clinical neuroscience","Eur Arch Psychiatry Clin Neurosci"
"European archives of psychiatry and neurological sciences","Eur Arch Psychiatry Neurol Sci"
"European biophysics journal : EBJ","Eur Biophys J"
"European cells & materials","Eur Cell Mater"
"European child & adolescent psychiatry","Eur Child Adolesc Psychiatry"
"European cytokine network","Eur Cytokine Netw"
"European demographic information bulletin / European Centre for Population Studies","Europ Demogr Inf Bull"
"European eating disorders review : the journal of the Eating Disorders Association","Eur Eat Disord Rev"
"European economic review","Eur Econ Rev"
"European food research and technology","Zeitschrift fur Lebensmittel-Untersuchung und -Forschung. A|Eur. Food Res. Technol."
"European foreign affairs review","Eur Foreign Aff Rev"
"European heart journal","Eur Heart J"
"European heart journal supplements : journal of the European Society of Cardiology","Eur Heart J Suppl"
"European history quarterly","Eur Hist Q"
"European human rights law review","Eur Hum Rights Law Rev"
"European intellectual property review","Eur Intellect Prop Rev"
"European journal of ageing","Eur J Ageing"
"European journal of anaesthesiology","Eur J Anaesthesiol"
"European journal of anaesthesiology. Supplement","Eur J Anaesthesiol Suppl"
"European journal of applied physiology","Eur J Appl Physiol"
"European journal of applied physiology and occupational physiology","Eur J Appl Physiol Occup Physiol"
"European journal of basic and applied histochemistry","Eur J Basic Appl Histochem"
"European journal of biochemistry / FEBS","Eur J Biochem"
"European journal of cancer","Eur J Cancer"
"European journal of cancer & clinical oncology","Eur J Cancer Clin Oncol"
"European journal of cancer (Oxford, England : 1990)","Eur J Cancer"
"European journal of cancer care","Eur J Cancer Care (Engl)"
"European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP)","Eur J Cancer Prev"
"European journal of cancer. Part B, Oral oncology","Eur J Cancer B Oral Oncol"
"European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery","Eur J Cardiothorac Surg"
"European journal of cardiology","Eur J Cardiol"
"European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology","Eur J Cardiovasc Nurs"
"European journal of cardiovascular prevention and rehabilitation : official journal of the European Society of Cardiology, Working Groups on Epidemiology & Prevention and Cardiac Rehabilitation and Exercise Physiology","Eur J Cardiovasc Prev Rehabil"
"European journal of cell biology","Eur J Cell Biol"
"European journal of cell biology. Supplement","Eur J Cell Biol Suppl"
"European journal of clinical chemistry and clinical biochemistry : journal of the Forum of European Clinical Chemistry Societies","Eur J Clin Chem Clin Biochem"
"European journal of clinical investigation","Eur J Clin Invest"
"European journal of clinical microbiology","Eur J Clin Microbiol"
"European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology","Eur J Clin Microbiol Infect Dis"
"European journal of clinical nutrition","Eur J Clin Nutr"
"European journal of clinical pharmacology","Eur J Clin Pharmacol"
"European journal of dental education : official journal of the Association for Dental Education in Europe","Eur J Dent Educ"
"European journal of dermatology : EJD","Eur J Dermatol"
"European journal of disorders of communication : the journal of the College of Speech and Language Therapists, London","Eur J Disord Commun"
"European journal of drug metabolism and pharmacokinetics","Eur J Drug Metab Pharmacokinet"
"European journal of echocardiography : the journal of the Working Group on Echocardiography of the European Society of Cardiology","Eur J Echocardiogr"
"European journal of emergency medicine : official journal of the European Society for Emergency Medicine","Eur J Emerg Med"
"European journal of endocrinology / European Federation of Endocrine Societies","Eur J Endocrinol"
"European journal of epidemiology","Eur J Epidemiol"
"European journal of gastroenterology & hepatology","Eur J Gastroenterol Hepatol"
"European journal of genetics in society : an ethical approach to genetics","Eur J Genet Soc"
"European journal of gynaecological oncology","Eur J Gynaecol Oncol"
"European journal of haematology","Eur J Haematol"
"European journal of haematology. Supplementum","Eur J Haematol Suppl"
"European journal of health law","Eur J Health Law"
"European journal of heart failure : journal of the Working Group on Heart Failure of the European Society of Cardiology","Eur J Heart Fail"
"European journal of histochemistry : EJH","Eur J Histochem"
"European journal of human genetics : EJHG","Eur J Hum Genet"
"European journal of immunogenetics : official journal of the British Society for Histocompatibility and Immunogenetics","Eur J Immunogenet"
"European journal of immunology","Eur J Immunol"
"European journal of intensive care medicine","Eur J Intensive Care Med"
"European journal of internal medicine","Eur J Intern Med"
"European journal of marketing","Eur J Mark"
"European journal of mass spectrometry (Chichester, England)","Eur J Mass Spectrom (Chichester, Eng)"
"European journal of medical genetics","Eur J Med Genet"
"European journal of medical research","Eur J Med Res"
"European journal of medicinal chemistry","Eur J Med Chem"
"European journal of morphology","Eur J Morphol"
"European journal of neurology : the official journal of the European Federation of Neurological Societies","Eur J Neurol"
"European journal of nuclear medicine","Eur J Nucl Med"
"European journal of nuclear medicine and molecular imaging","Eur J Nucl Med Mol Imaging"
"European journal of nutrition","Eur J Nutr"
"European journal of obstetrics and gynecology","Eur J Obstet Gynecol"
"European journal of obstetrics, gynecology, and reproductive biology","Eur J Obstet Gynecol Reprod Biol"
"European journal of oncology nursing : the official journal of European Oncology Nursing Society","Eur J Oncol Nurs"
"European journal of operational research","Eur J Oper Res"
"European journal of ophthalmology","Eur J Ophthalmol"
"European journal of oral sciences","Eur J Oral Sci"
"European journal of organic chemistry","European J Org Chem"
"European journal of orthodontics","Eur J Orthod"
"European journal of paediatric dentistry : official journal of European Academy of Paediatric Dentistry","Eur J Paediatr Dent"
"European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society","Eur J Paediatr Neurol"
"European journal of pain (London, England)","Eur J Pain"
"European journal of pediatrics","Eur J Pediatr"
"European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences","Eur J Pharm Sci"
"European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V","Eur J Pharm Biopharm"
"European journal of pharmacology","Eur J Pharmacol"
"European journal of political research","Eur J Polit Res"
"European journal of protistology","Eur J Protistol"
"European journal of public health","Eur J Public Health"
"European journal of radiology","Eur J Radiol"
"European journal of respiratory diseases","Eur J Respir Dis"
"European journal of respiratory diseases. Supplement","Eur J Respir Dis Suppl"
"European journal of rheumatology and inflammation","Eur J Rheumatol Inflamm"
"European journal of sexually transmitted diseases","Eur J Sex Transm Dis"
"European journal of social psychology","Eur J Soc Psychol"
"European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology","Eur J Surg Oncol"
"European journal of toxicology","Eur J Toxicol"
"European journal of toxicology and environmental hygiene. Journal europeen de toxicologie","Eur J Toxicol Environ Hyg"
"European journal of toxicology and hygiene of environment","Eur J Toxicol Hyg Environ"
"European journal of ultrasound : official journal of the European Federation of Societies for Ultrasound in Medicine and Biology","Eur J Ultrasound"
"European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery","Eur J Vasc Endovasc Surg"
"European journal of vascular surgery","Eur J Vasc Surg"
"European law review","Eur Law Rev"
"European neurology","Eur Neurol"
"European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology","Eur Neuropsychopharmacol"
"European psychiatry : the journal of the Association of European Psychiatrists","Eur Psychiatry"
"European radiology","Eur Radiol"
"European review (Chichester, England)","Eur Rev"
"European review for medical and pharmacological sciences","Eur Rev Med Pharmacol Sci"
"European sociological review","Eur Sociol Rev"
"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society","Eur Spine J"
"European studies review","Eur Stud Rev"
"European surgical research. Europaische chirurgische Forschung. Recherches chirurgicales europeennes","Eur Surg Res"
"European urban and regional studies","Eur Urban Reg Stud"
"European urology","Eur Urol"
"European water pollution control : official publication of the European Water Pollution Control Association (EWPCA)","Eur Water Pollut Control"
"Europhysics letters","Europhys Lett"
"Euthanasia news","Euthanasia News"
"Evaluation","Evaluation"
"Evaluation & the health professions","Eval Health Prof"
"Evaluation and program planning","Eval Program Plann"
"Evaluation practice","Eval Pract"
"Evaluation quarterly","Eval Q"
"Evaluation review","Eval Rev"
"Evening sun (Baltimore, Md.)","Evening Sun"
"Evidence report/technology assessment","Evid Rep Technol Assess (Full Rep)"
"Evidence report/technology assessment (Summary)","Evid Rep Technol Assess (Summ)"
"Evidence-based cardiovascular medicine","Evid Based Cardiovasc Med"
"Evidence-based complementary and alternative medicine : eCAM","Evid Based Complement Alternat Med"
"Evidence-based dentistry","Evid Based Dent"
"Evidence-based medicine","Evid Based Med"
"Evidence-based mental health","Evid Based Ment Health"
"Evidence-based nursing","Evid Based Nurs"
"Evocations","Evocations"
"Evolution & development","Evol Dev"
"Evolution and human behavior : official journal of the Human Behavior and Evolution Society","Evol Hum Behav"
"Evolution; international journal of organic evolution","Evolution Int J Org Evolution"
"Evolutionary anthropology","Evol Anthropol"
"Evolutionary bioinformatics online","Evol Bioinform Online"
"Evolutionary computation","Evol Comput"
"Exceptional children","Except Child"
"Excerpta medica","Excerpta Med"
"Excerpta medica. Section 12, Ophthalmology","Excerpta Med (Ophthalmol)"
"Excerpta medica. Section 13, Dermatology and venereology","Excerpta Med (Dermatol)"
"Excerpta medica. Section 15, Chest diseases","Excerpta Medica 15 Chest Dis"
"Excerpta medica. Section 20, Gerontology and geriatrics","Excerpta Medica 20 Gerontol Geriatr"
"Excerpta medica. Section 28, Urology and nephrology","Excerpta Med (Urol)"
"Executive housekeeper","Exec Housekeeper"
"Executive housekeeping today / the official magazine of the National Executive Housekeepers Association","Exec Housekeep Today"
"Executive intelligence review","Exec Intell Rev"
"Executive solutions for healthcare management","Exec Solut Healthc Manag"
"Exercise and sport sciences reviews","Exerc Sport Sci Rev"
"Exercise immunology review","Exerc Immunol Rev"
"Expedition","Expedition"
"Experientia","Experientia"
"Experientia. Supplementum","Experientia Suppl"
"Experimental & applied acarology","Exp Appl Acarol"
"Experimental & molecular medicine","Exp Mol Med"
"Experimental aging research","Exp Aging Res"
"Experimental and clinical endocrinology","Exp Clin Endocrinol"
"Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association","Exp Clin Endocrinol Diabetes"
"Experimental and clinical immunogenetics","Exp Clin Immunogenet"
"Experimental and clinical psychopharmacology","Exp Clin Psychopharmacol"
"Experimental and clinical transplantation : official journal of the Middle East Society for Organ Transplantation","Exp Clin Transplant"
"Experimental and molecular pathology","Exp Mol Pathol"
"Experimental and toxicologic pathology : official journal of the Gesellschaft fur Toxikologische Pathologie","Exp Toxicol Pathol"
"Experimental animals / Japanese Association for Laboratory Animal Science","Exp Anim"
"Experimental biology","Exp Biol"
"Experimental biology and medicine","Exp Biol Med"
"Experimental biology and medicine (Maywood, N.J.)","Exp Biol Med (Maywood)"
"Experimental brain research. Experimentelle Hirnforschung. Experimentation cerebrale","Exp Brain Res"
"Experimental cell biology","Exp Cell Biol"
"Experimental cell research","Exp Cell Res"
"Experimental cell research. Supplement","Exp Cell Res Suppl"
"Experimental dermatology","Exp Dermatol"
"Experimental diabesity research","Exp Diabesity Res"
"Experimental diabetes research","Exp Diabetes Res"
"Experimental embryology and teratology","Exp Embryol Teratol"
"Experimental eye research","Exp Eye Res"
"Experimental gerontology","Exp Gerontol"
"Experimental hematology","Exp Hematol"
"Experimental lung research","Exp Lung Res"
"Experimental medicine and surgery","Exp Med Surg"
"Experimental mycology","Exp Mycol"
"Experimental nephrology","Exp Nephrol"
"Experimental neurology","Exp Neurol"
"Experimental neurology. Supplement","Exp Neurol Suppl"
"Experimental oncology","Exp Oncol"
