"Archäologischer Anzeiger","AA"
"Bullettino del Museo della civiltà romana","BMusCivRom"
"Bulletin. Museum of Fine Arts, Boston","BMusFA"
"Bulletin du Musée hongrois des beaux-arts","BMusHongr"
"Boletín del Museo arqueológico nacional, Madrid","BMusMadr"
"Bulletin. Museums of Art and Archaeology, University of Michigan","BMusMich"
"Bulletin du Musée d'anthropologie préhistorique de Monaco","BMusMonaco"
"Bollettino del Museo civico di Padova","BMusPadova"
"Boletín del Museo provincial de bellas artes","BMusPBelArt"
"Bollettino dei Musei comunali di Roma","BMusRom"
"Bulletin du Musée national de Varsovie","BMusVars"
"Museo de Zaragoza. Boletín","BMusZaragoza"
"Bulletin de la Société française de numismatique","BNumParis"
"Bollettino di numismatica","BNumRoma"
"Boğazköy-Hattuša. Ergebnisse der Ausgrabungen","Bogazkoey-Hattusa"
"Bolskan. Revista de arqueología del Instituto de estudios Altoaragoneses, revista de arqueología Oscense","Bolskan"
"Bonner Hefte zur Vorgeschichte","BonnHVg"
"Bulletin of the Royal Ontario Museum of Archaeology, University of Toronto","BOntMus"
"Boreas. Münstersche Beiträge zur Archäologie","Boreas"
"Boreas. Uppsala Studies in Ancient Mediterranean and Near Eastern Civilization","BoreasUpps"
"Bulletin de liaison. Centre d'études des peintures murales romaines","BPeintRom"
"Bullettino di paletnologia italiana","BPI"
"Bulletin d'études préhistoriques alpines","BPrehistAlp"
"Bulletin de l'Association Pro Aventico","BProAvent"
"Bulletin of the Rhode Island School of Design. Museum Notes","BProvidence"
"Bracara Augusta. Revista cultural da Câmara municipal de Braga","BracAug"
"Bracara Augusta. Revista cultural da Câmara municipal de Braga","BracaraAugusta"
"Bremer archäologische Blätter","BremABl"
"Bollettino dell'Istituto centrale del restauro","BRest"
"Brigantium. Museo arqueolóxico e histórico","Brigantium"
"The British Museum Yearbook","BrMusYearbook"
"The Annual of the British School at Athens","BSA"
"Boletín del Seminario de estudios de arte y arqueología, Universidad de Valladolid","BSAA"
"Bulletin de la Société française d'égyptologie","BSFE"
"Bullettino senese di storia patria","BSiena"
"Bulletin of the School of Oriental and African Studies (London)","BSOAS"
"Bulletin de la Société archéologique champenoise","BSocAChamp"
"Bulletin de liaison de la Société des amis de la Bibliothèque Salomon Reinach","BSocBiblReinach"
"Buletinul Societăţii numismatice române","BSocNumRom"
"Papers of the British School at Rome","BSR"
"Bollettino di studi latini","BStLat"
"Bollettino della Unione storia ed arte","BStorArt"
"Bulletin du Centre international d'étude des textiles anciens","BTextilAnc"
"Bollettino della Società piemontese di archeologia e belle arti","BTorino"
"Bulletin des travaux de l'Institut national du patrimoine. Comptes rendus","BTravTun"
"Budapest régiségei","BudReg"
"Bulletin. J. Paul Getty Museum of Art","BulletinGetty"
"Bulletin. Smith College Museum of Art","BulletinNorthampton"
"Boletín del Seminario de estudios de arte y arqueología, Universidad de Valladolid","BVallad"
"Boletín de la Institución »Sancho el Sabio«","BVitoria"
"The Walters Art Gallery Bulletin","BWaltersArtGal"
"Winckelmannsprogramm der Archäologischen Gesellschaft zu Berlin","BWPr"
"Βυζαντινά. Επιστημονικόν Όργανον Κέντρου Βυζαντινών Ερευνών Φιλοσοφικής Σχολής Αριστοτελείου Πανεπιστημίου Θεσσαλονίκης","Byzantina"
"Byzantinische Forschungen. Internationale Zeitschrift für Byzantinistik","ByzF"
"Byzantinisch-neugriechische Jahrbücher","ByzJb"
"Byzantinische Zeitschrift","ByzZ"
"Biblische Zeitschrift","BZ"
"Corpus antiquitatum Aegyptiacarum","CAA"
"The Assyrian Dictionary of the Oriental Institute of the University of Chicago","CAD"
"Cadernos de arqueologia","CadA"
"Caesaraugusta. Publicaciones del Seminario de Arqueología y Numismática Aragonesas","Caesaraugusta"
"Caesarodunum. Bulletin de l'Institut d'études latines et du Centre de recherches A. Piganiol","Caesarodunum"
"The Cambridge Ancient History","CAH"
"Cahiers du Groupe de recherches sur l'armée romaine et les provinces","CahArmeeRom"
"Cahiers d'archéologie subaquatique","CahASubaqu"
"Cahiers de Byrsa","CahByrsa"
"Cahier. Centre d'études chypriotes","CahCEC"
"Cahiers de la céramique égyptienne","CahCerEg"
"Cahiers de la Délégation française en Iran","CahDelFrIran"
"Cahiers du Centre Gustave-Glotz. Revue reconnue par le CNRS","CahGlotz"
"Cahiers de Karnak","CahKarnak"
"Cahiers ligures de préhistoire et de protohistoire","CahLig"
"Les cahiers de Mariemont. Bulletin du Musée royal de Mariemont","CahMariemont"
"Cahiers du Musée Champollion. Histoire et archéologie","CahMusChampollion"
"Cahiers de recherches de l'Institut de papyrologie et d'égyptologie de Lille. Sociétés urbaines en Égypte et au Soudan","CahPEg"
"Cahiers rhodaniens","CahRhod"
"Cahiers de Tunisie","CahTun"
"California Studies in Classical Antiquity","CalifStClAnt"
"Cambridge Archaeological Journal","CambrAJ"
"Cahiers archéologiques","CArch"
"Carinthia I. Geschichtliche und volkskundliche Beiträge zur Heimatkunde Kärntens","CarinthiaI"
"Carnuntum-Jahrbuch. Zeitschrift für Archäologie und Kulturgeschichte des Donauraumes","CarnuntumJb"
"Carpica. Muzeul judeţean de istorie şi artă, Bacău","Carpica"
"Il Carrobbio. Rivista di studi bolognesi","Carrobbio"
"Ch. W. Clairmont, Classical Attic Tombstones (Kilchberg 1993--1995)","CAT"
"Cuadernos emeritenses","CE"
"CEDAC. Bulletin. Centre d'études et de documentation archéologique de la conservation de Cartage","CEDAC"
"Collection de l'École française de Rome","CEFR"
"Celticum. Supplément à Ogam","Celticum"
"Cercetriarheologice","CercA"
"Cercetări numismatice. Muzeul naţional de istorie","CercNum"
"Chiron. Mitteilungen der Kommission für Alte Geschichte und Epigraphik des Deutschen Archäologischen Instituts","Chiron"
"Chronique d'Égypte","ChronEg"
"Corpus inscriptionum Atticarum","CIA"
"Corpus inscriptionum Etruscarum","CIE"
"Corpus inscriptionum Graecarum","CIG"
"Corpus inscriptionum Semiticarum. Pars quarta. Inscriptiones himyariticas et sabaeas continens","CIH"
"Corpus inscriptionum Latinarum","CIL"
"The Cincinnati Art Museum Bulletin","CincArtB"
"Corpus inscriptionum Semiticarum","CIS"
"Contributi dell'Istituto di archeologia. Pubblicazioni dell'Università cattolica del Sacro Cuore, Milano","CIstAMilano"
"Civiltà classica e cristiana","CivClCr"
"Civiltà padana. Archeologia e storia del territorio","CivPad"
"Classical Antiquity","ClAnt"
"Cleveland Studies in the History of Art","ClevStHistArt"
"Clio. Revista do Centro de história da Universidade Lisboa","Clio"
"Classics Ireland","ClIre"
"The Classical Journal","ClJ"
"Classica et mediaevalia. Revue danoise de philologie et d'histoire","ClMediaev"
"Classical Philology","ClPhil"
"The Classical Quarterly","ClQ"
"The Classical Review","ClR"
"Clara Rhodos","ClRh"
"Contributi e materiali di archeologia orientale","CMatAOr"
"Convegni di studi sulla Magna Grecia","CMGr"
"Corpus der minoischen und mykenischen Siegel","CMS"
"Coin Hoards. The Royal Numismatic Society, London","CoinHoards"
"Colloqui del Sodalizio","ColloquiSod"
"Communicationes archaeologicae hungaricae","CommunicAHung"
"Complutum. Publicaciones del Departamento de prehistoria de la Universidad complutense de Madrid","Complutum"
"Conoscenze. Rivista annuale della Soprintendenza archeologica e per i beni ambientali, architettonici, artistici e storici del Molise","Conoscenze"
"Corduba archaeologica","Corduba"
"Corinth. Results of Excavations Conducted by the American School of Classical Studies at Athens","Corinth"
"Académie des inscriptions et belles-lettres. Comptes rendus des séances de l'Académie","CRAI"
"Creta antica. Rivista annuale di studi archeologici, storici ed epigrafici","CretAnt"
"Cretan Studies","CretSt"
"Cronache di archeologia","CronA"
"Cronache ercolanesi. Bollettino del Centro internazionale per lo studio dei papiri ercolanesi","CronErcol"
"Cronache pompeiane","CronPomp"
"Compte-rendu de la Commission impériale archéologique, St. Pétersbourg","CRPetersbourg"
"Corpus speculorum Etruscorum","CSE"
"Corpus signorum Imperii Romani","CSIR"
"Contributi della Scuola di specializzazione in archeologia dell'Università degli studi di Pisa","CSSpecPisa"
"Cuadernos de arqueología mediterránea","CuadAMed"
"Cuadernos de arquitectura romana","CuadArquitRom"
"Cuadernos de prehistoria y arqueología castellonense","CuadCastellon"
"Cuaderni catanesi di studi classici e medievali","CuadCat"
"Cuadernos de filología clásica. Facultad de letras y filosofía, Universidad de Madrid","CuadFilCl"
"Cuadernos de estudios gallegos","CuadGallegos"
"Cuadernos de prehistoria de la Universidad de Granada","CuadGranada"
"Cuadernos de arqueología de la Universidad de Navarra","CuadNavarra"
"Cuadernos de prehistoria y arqueología. Universidad autónoma de Madrid","CuadPrehistA"
"Cuadernos de trabajos de la Escuela española de historia y arqueología en Roma","CuadRom"
"Cuadernos de prehistoria y arqueología. Universidad autónoma de Madrid","CuPaUAM"
"Corpus vasorum antiquorum","CVA"
"Cota Zero. Revista d'arqueologia i ciencia","CZero"
"Denkmäler antiker Architektur","DAA"
"Dacia. Revue d'archéologie et d'histoire ancienne","Dacia"
"Dictionnaire d'archéologie chrétienne et de liturgie","DACL"
"Dacoromania. Jahrbuch für östliche Latinität","Dacoromania"
"Damaszener Forschungen","DaF"
"Daidalos. Studi e ricerche del Dipartimento di scienze del mondo antico","Daidalos"
"Das Deutsche Archäologische Institut. Geschichte und Dokumente","DAIGeschDok"
"Damaszener Mitteilungen","DaM"
"Dictionnaire des antiquités grecques et romaines d'après les textes et les monuments. Ouvrage rédigé sous la direction de Ch. Daremberg et E. Saglio","Daremberg-Saglio"
"A Debreceni Déri múzeum évkönyve","DebrecMuzEvk"
"Dédalo. Revista de arte e arqueologia","Dedalo"
"Exploration archéologique de Délos faite par l'École française d'Athènes","Delos"
"Δελτίον της Χριστιανικής Αρχαιολογικής Εταιρείας","DeltChrA"
"Demircihüyük. Die Ergebnisse der Ausgrabungen 1975--1978","Demircihueyuek"
"De museus. Quaderns de museologia i museografia","DeMuseus"
"Denkmalpflege in Baden-Württemberg","DenkmPflBadWuert"
"Österreichische Akademie der Wissenschaften, Philosophisch-Historische Klasse. Denkschriften","DenkschrWien"
"Diadora. Glasilo arheoloskog muzeja u Zadru","Diadora"
"Dialoghi di archeologia","DialA"
"Dialogues d'histoire ancienne","DialHistAnc"
"Dike. Rivista di storia del diritto greco ed ellenistico. Università degli studi di Milano. Facoltà di giurisprudenza","Dike"
"Dioniso. Annale della Fondazione INDA, Istituto nazionale del dramma antico","Dioniso"
"Diskussionen zur archäologischen Bauforschung","DiskAB"
"Deutsche Kunst und Denkmalpflege","DKuDenkmPfl"
"Deutsche Literaturzeitung für Kritik der internationalen Wissenschaft","DLZ"
"Der Neue Pauly. Enzyklopädie der Antike","DNP"
"Documenta Albana","DocAlb"
"Documents d'archéologie régionale. Université catholique de Louvain","DocALouv"
"Documents d'archéologie méridionale","DocAMerid"
"Documenti. Istituto per i beni artistici, culturali, naturali della regione Emilia-Romagna","DocEmRom"
"Δωδώνη","Dodone"
"Dumbarton Oaks Papers","DOP"
"Les dossiers du Centre régional archéologique d'Alet","DossAlet"
"Les dossiers d'archéologie","DossAParis"
"The Excavations at Dura-Europos Conducted by Yale University and the French Academy of Inscriptions and Letters","Dura-Europos"
"Enciclopedia dell'arte antica classica e orientale","EAA"
"Excavaciones arqueológicas en España","EAE"
"East and West","EastWest"
"École antique de Nîmes. Bulletin annuel","EcAntNimes"
"Echos du monde classique. Classical Views","EchosCl"
"e-Forschungsberichte des Deutschen Archäologischen Instituts","eDAI-F"
"e-Jahresberichte des Deutschen Archäologischen Instituts","eDAI-J"
"Egyptian Archaeology. The Bulletin of the Egypt Exploration Society","EgA"
"Εγνατία. Επιστημονική Επετηρίδα της Φιλοσοφικής Σχολής, Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης, Τμήμα Ιστορίας και Αρχαιολογίας","Egnatia"
"Egitto e Vicino Oriente","EgVicOr"
"Εικασμός. Quaderni bolognesi di filologia classica","Eikasmos"
"Eirene. Studia Graeca et Latina","Eirene"
"Elenchos. Rivista di studi sul pensiero antico","Elenchos"
"Ελληνικά. Φιλολογικόν, Ιστορικόν και Λαογραφικόν Περιοδικόν Σύγγραμμα","Ellenika"
"Emerita. Revista de linguistica y filología clasica","Emerita"
"Emilia preromana","EmPrerom"
"Empúries. Revista de prehistòria, arqueologia i etnologia","Empuries"
"Ενάλια","Enalia"
"Enalia. Annual. English Edition of the Hellenic Institute of Marine Archaeology","EnaliaAnn"
"Enchoria. Zeitschrift für Demotistik und Koptologie","Enchoria"
"Eos. Commentarii Societatis philologae Polonorum","Eos"
"Επετηρίς της Εταιρείας Βοιωτικών Μελετών","EpetBoiotMel"
"Επετηρίς της Εταιρείας Βυζαντινών Σπουδών","EpetByzSpud"
"Επετηρίς της Εταιρείας Κυκλαδικών Μελετών","EpetKyklMel"
"Ephemeris Dacoromana. Annuario della Scuola Romena di Roma","EphemDac"
"Ephemeris Napocensis","EphemNapoc"
"Epigraphica Anatolica. Zeitschrift für Epigraphik und historische Geographie Anatoliens","EpigrAnat"
"Επιστημονική Επετηρίς της Φιλοσοφικής Σχολής του Πανεπιστημίου Αθηνών","EpistEpetAth"
"Επιστημονική Επετηρίδα της Πολυτεχνικής Σχολής, Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης, Τμήμα Αρχιτεκτόνων","EpistEpetPolytThess"
"Επιστημονική Επετηρίδα της Φιλοσοφικής Σχολής του Πανεπιστημίου Θεσσαλονίκης","EpistEpetThess"
"Études préliminaires aux religions orientales dans l'empire romain","EPRO"
"Eranos. Acta philologica Suecana","Eranos"
"Eranos-Jahrbuch","EranosJb"
"Eretria. Fouilles et recherches","Eretria"
"Eretz-Israel. Archaeological, Historical and Geographical Studies","Eretz-Israel"
"Το Έργον της Αρχαιολογικής Εταιρείας","Ergon"
"Eurasia septentrionalis antiqua","ESA"
"Espacio, tiempo y forma. Revista de la Facultad de geografia e historia. Serie 2, Historia antigua","EspacioHist"
"Estudios de prehistoria y arqueología madrileñas","EstMadr"
"Estudios del Seminario de prehistoria, arqueología e historia antigua de la Facultad de filosofía y letras de Zaragoza","EstZaragoza"
"Études d'archéologie classique","EtACl"
"Les études classiques. Revue trimestrielle de recherche et d'enseignement","EtCl"
"Études classiques. Faculté des lettres et sciences humaines d'Aix","EtClAix"
"Études crétoises","EtCret"
"Ethnos. Revista do Instituto português de arqueología, história e etnografia","Ethnos"
"Études de papyrologie","EtP"
"Études sur Pézenas et l'Hérault","EtPezenas"
"Etruscan Studies. Journal of the Etruscan Foundation","EtrSt"
"Etruscans. Bulletin of the Etruscan Foundation","Etruscans"
"Études et travaux. Studia i prace. Travaux du Centre d'archéologie méditerranéenne de l'Académie des sciences polonaise","EtTrav"
"Ευλιμένη (Μεσογειακή Αρχαιολογική Εταιρεία)","Eulimene"
"Eunomia. Ephemeridis Listy filologické supplementum","Eunomia"
"Euphrosyne. Revista de filologia clássica","Euphrosyne"
"Eurasia antiqua","EurAnt"
"European Review of History. Revue européenne d'histoire","EurRHist"
"Eutopia. Commentarii novi de antiquitatibus totius Europae","Eutopia"
"J. D. Beazley, Etruscan Vase Painting (Oxford 1947)","EVP"
"Excavations and Surveys in Israel","ExcIsr"
"Expedition. The Magazine of Archaeology, Anthropology","Expedition"
"Extremadura arqueológica","ExtremA"
"Fasti archaeologici","FA"
"Forschungen zur Archäologie Außereuropäischer Kulturen","FAAK"
"Faenza. Bollettino del Museo internazionale delle ceramiche in Faenza. Rivista bimestrale di studi storici e di tecnica dell'arte ceramica","Faenza"
"Forschungen zur Allgemeinen und Vergleichenden Archäologie","FAVA"
"Faventia. Departement de clássiques, Facultat de letres, Universitat autónoma de Barcelona","Faventia"
"Forschungen und Berichte zur Vor- und Frühgeschichte in Baden-Württemberg","FBerBadWuert"
"Fouilles de Conimbriga. Publiées sous la direction de J. Alarcão et R. Etienne","FdC"
"Fouilles de Delphes","FdD"
"Fouilles de Xanthos","FdX"
"Feddersen Wierde. Die Ergebnisse der Ausgrabung der vorgeschichtlichen Wurt Feddersen Wierde bei Bremerhaven in den Jahren 1955 bis 1963","FeddersenWierde"
"Felix Ravenna","FelRav"
"F. Jacoby, Die Fragmente der griechischen Historiker","FGrHist"
"Fragmenta historicorum Graecorum","FHG"
"Forschungen in Augst","FiA"
"Ficheiro epigráfico. Suplemento de »Conimbriga«","FichEpigr"
"Forschungen in Ephesos","FiE"
"Fouilles de l'Institut français d'archéologie orientale du Caire","FIFAO"
"Figlina. Documents du Laboratoire de céramologie de Lyon","Figlina"
"Florentia. Studi di archeologia","Florentia"
"Florentia Iliberritana. Revista de estudios de antigüedad clásica","FlorIl"
"Die Fundmünzen der römischen Zeit in Deutschland","FMRD"
"Fundmünzen der römischen Zeit in Österreich","FMROe"
"Fogg Art Museum. Acquisitions","FoggArtMusAcqu"
"Folia archaeologica","FolA"
"Folia orientalia","FolOr"
"Fonaments. Prehistòria i mon antic als Paisos Catalans","Fonaments"
"Fondamenti. Rivista quadrimestrale di cultura","Fondamenti"
"Fontes archaeologici Posnanienses","FontAPos"
"Fontes. Rivista di filologia, iconografia e storia della tradizione classica","Fontes"
"Forlimpopoli. Documenti e studi","Forlimpopoli"
"Fornvännen. Tidskrift för svensk antikvarisk forskning","Fornvaennen"
"Forum. Revue du Groupe d'archéologie antique","Forum"
"A. Furtwängler – K. Reichhold, Griechische Vasenmalerei (München 1900--1925)","FR"
"Frühmittelalterliche Studien. Jahrbuch des Instituts für Frühmittelalterforschung der Universität Münster","FruehMitAltSt"
"Funde und Ausgrabungen im Bezirk Trier","FuAusgrTrier"
"Forschungen und Berichte. Staatliche Museen zu Berlin","FuB"
"Fundberichte aus Baden-Württemberg","FuBerBadWuert"
"Fundberichte aus Hessen","FuBerHessen"
"Fundberichte aus Österreich","FuBerOe"
"Fundberichte aus Schwaben","FuBerSchwab"
"Forschungen und Fortschritte","FuF"
"Fundort Wien. Berichte zur Archäologie","FuWien"
"Gaceta numismática","GacNum"
"Gades. Revista del Colegio universitario de filosofía y letras","Gades"
"Gallaecia. Publicación del Departamento de prehistoria y arqueología","Gallaecia"
"Gallia. Fouilles et monuments archéologiques en France metropolitaine","Gallia"
"Gallia informations. Préhistoire et histoire","GalliaInf"
"Gallia informations. L'archéologie des régions","GalliaInfAReg"
"Gallia préhistoire. Archéologie de la France préhistorique","GalliaPrehist"
"Greece and Rome","GaR"
"Gazette des beaux-arts","GazBA"
"Genava. Revue d'histoire de l'art et d'archéologie","Genava"
"Geographia antiqua. Rivista di geografia storica del mondo antico e di storia della geografia","GeoAnt"
"Germania. Anzeiger der Römisch-Germanischen Kommission des Deutschen Archäologischen Instituts","Germania"
"Gesta. International Center of Medieval Art","Gesta"
"The J. Paul Getty Museum Journal","GettyMusJ"
"Göttinger Forum für Altertumswissenschaft","GFA"
"Göttingische Gelehrte Anzeigen","GGA"
"Giornale filologico ferrarese","GiornFilFerr"
"Giornale italiano di filologia","GiornItFil"
"Giornale storico della Lunigiana e del territorio lucense","GiornStorLun"
"Giglio di roccia","GiRoccPalermo"
"Gladius. Estudios sobre armas antiguas, armamento, arte militar y vida cultural en Oriente y Occidente","Gladius"
"Glasgow Archaeological Journal","GlasAJ"
"GlasnikSrpskoarheolokodrutvo","GlasBeograd"
"Glasnik Zemaljskog muzeja Bosne i Hercegovie u Sarajevu. Arheologija","GlasSarajevo"
"Glotta. Zeitschrift für griechische und lateinische Sprache","Glotta"
"Gnomon. Kritische Zeitschrift für die gesamte klassische Altertumswissenschaft","Gnomon"
"Godišnik na Departament archeologija","GodDepA"
"Godišnik na Archeologičeski muzej Plovdiv. Annuaire du Musée archéologique Plovdiv","GodMuzPlov"
"Godišnik na Nacionalnija archeologičeski muzej. Annuaire du Musée national archéologique (Sofia)","GodMuzSof"
"Godišen zbornik na Filozofskiot fakultet na Universitetot vo Skopje","GodZborSkopje"
"Goriški letnik. Zbornik Goriškega muzeja","GorLet"
"Göttinger Miszellen. Beiträge zur ägyptologischen Diskussion","GoettMisz"
"Građa i rasprave. Arheološki muzej Istre, Pula","GraRaspr"
"Grazer Beiträge. Zeitschrift für die Klassische Altertumswissenschaft","GrazBeitr"
"Graecolatina et orientalia. Zborník Filozofickej fakulty Univerzity Komenského","GrLatOr"
"Graecolatina Pragensia. Acta Universitatis Carolinae. Philologica","GrLatPrag"
"Greek, Roman and Byzantine Studies","GrRomByzSt"
"Gymnasium. Zeitschrift für Kultur der Antike und humanistische Bildung","Gymnasium"
"Habis. Universidad de Sevilla. Arqueología, filología clásica","Habis"
"Hallisches Winckelmannsprogramm","HallWPr"
"Hama. Fouilles et recherches de la Fondation Carlsberg","Hama"
"Hamburger Beiträge zur Archäologie","HambBeitrA"
"Hamburger Beiträge zur Numismatik","HambBeitrNum"
"Kungliga vitterhets historie och antikvitets akademiens handlingar. Antikvariska serien","Handlingar"
"Harvard Studies in Classical Philology","HarvStClPhil"
"The Harvard Theological Review","HarvTheolR"
"Hefte des Archäologischen Seminars der Universität Bern","HASB"
"Handbuch der Altertumswissenschaften","HAW"
"Handbuch der Archäologie","HdArch"
"B. V. Head, Historia Numorum. A Manual of Greek Numismatics (Oxford 1887","Head"
"W. Helbig, Führer durch die öffentlichen Sammlungen klassischer Altertümer in Rom","Helbig"
"Helike. Universidad nacional de educación a distancia, Centro regional de Elche","Helike"
"Helikon. Rivista di tradizione e cultura classica","Helikon"
"Helinium. Revue consacrée à l'archéologie des Pays-Bas, de la Belgique et du Grand-Duché de Luxembourg","Helinium"
"Helios. A Journal Devoted to Critical and Methodological Studies of Classical Culture, Literature and Society","Helios"
"Hellenika. Jahrbuch für die Freunde Griechenlands","HellenikaJb"
"Helvetia archaeologica","HelvA"
"Hephaistos. Kritische Zeitschrift zur Theorie und Praxis der Archäologie und angrenzender Wissenschaften","Hephaistos"
"Hermes. Zeitschrift für klassische Philologie","Hermes"
"Das römische Herrscherbild","Herrscherbild"
"Hesperia. Journal of the American School of Classical Studies at Athens","Hesperia"
"Hispania. Revista española de historia","Hispania"
"Hispania antiqua. Revista de historia antigua","HispAnt"
"Hispania antiqua epigraphica","HispAntEpigr"
"Hispania epigraphica","HispEpigr"
"Historische Anthropologie. Kultur, Gesellschaft, Alltag","HistAnthr"
"Histoire de l'art. Bulletin d'information de l'Institut National d'Histoire de l'Art","HistArt"
"Historia. Zeitschrift für Alte Geschichte","Historia"
"Historica. Academia RSR. Centrul de istorie, filologie şi etnografie din Craiova","Historica"
"Histria. Les résultats des fouilles","Histria"
"Histria archaeologica","HistriaA"
"Histria antiqua. Casopis Meunarodnog Istraivakog Centra za Arheologiju. Journal of the International Research Centre for Archeology","HistriaAnt"
"Historische Sprachforschung","HistSprF"
"R. Borger, Handbuch der Keilschriftliteratur (Berlin 1967--1975)","HKL"
"Ηόρος. Ἔνα Ἀρχαιογνωστικò Περιοδικό","Horos"
"Harvard Semitic Series","HSS"
"Huelva arqueológica","HuelvaA"
"Humanistische Bildung","HumBild"
"Hyperboreus. Studia classica","Hyp"
"Historische Zeitschrift","HZ"
"Iberia archaeologica","IA"
"Iberia. Revista della antigüedad","Iberia"
"Israel Exploration Journal","IEJ"
"Inscriptiones Graecae","IG"
"M. Thompson – C. M. Kraay – O. Mørkholm, An Inventory of Greek Coin Hoards (New York 1973)","IGCH"
"Inscriptiones Graecae ad res Romanas pertinentes","IGR"
"Inschriften griechischer Städte aus Kleinasien","IK"
"Ilerda. Instituto de estudios ilerdenses","Ilerda"
"Iliria. Revistë arkeologjike","Iliria"
"Illinois Classical Studies","IllinClSt"
"The Illustrated London News","ILN"
"H. Dessau, Inscriptiones Latinae selectae (Berlin 1892--1916)","ILS"
"Index. Quaderni camerti di studi romanistici","IndexQuad"
"Indogermanische Forschungen","IndogermF"
"Indiana University Art Museum Bulletin","IndUnArtB"
"Insula Fulcheria","InsFulc"
"The Institute of Nautical Archaeology Quarterly","InstNautAQ"
"International Journal of the Classical Tradition","IntJClTrad"
"International Journal of Nautical Archaeology","IntJNautA"
"Internationale Zeitschriftenschau für Bibelwissenschaft und Grenzgebiete","IntZSchauBibelWiss"
"Invigilata lucernis","InvLuc"
"Jahrbuch für prähistorische und ethnographische Kunst","Ipek"
"Iran. Journal of the British Institute of Persian Studies","Iran"
"Iranica antiqua","IrAnt"
"The Israel Museum Journal","IsrMusJ"
"The Israel Museum News","IsrMusN"
"Israel Museum Studies in Archaeology. An Annual Publication by the Samuel Bronfman Biblical and Archaeological Museum of the Israel Museum, Jerusalem","IsrMusStA"
"Israel Numismatic Journal","IsrNumJ"
"Istanbul Arkeoloji Müzeleri yıllığı","IstanbAMuezYil"
"Istanbuler Forschungen","IstForsch"
"Isthmia. Excavations by the University of Chicago under the Auspices of the American School of Classical Studies at Athens","Isthmia"
"Istanbuler Mitteilungen","IstMitt"
"Italica. Cuadernos de trabajos de la Escuela española de historia y arqueología en Roma","Italica"
"Italia nostra","ItNostr"
"Izvestija na Narodnija muzej Burgas. Bulletin du Musée national de Bourgas","IzvBurgas"
"Izvestija na muzeite ot Južna Bălgarija. Bulletin des musées de la Bulgarie du Sud","IzvMuzJuzBalg"
"Izvestija na Narodnija muzej Varna","IzvVarna"
"Jábega. Revista de la Disputación provincial de Málaga","Jabega"
"Jadranski zbornik. Prilozi za povijest Istre, Rijeke i Hrvatskog primorja","JadrZbor"
"Journal of the American Oriental Society","JAOS"
"Journal of the American Research Center in Egypt","JARCE"
"Journal of Archaeological Science","JASc"
"Jahrbuch für Antike und Christentum","JbAC"
"Jahrbuch. Akademie der Wissenschaften und der Literatur, Mainz","JbAkMainz"
"Jahrbuch der Staatlichen Kunstsammlungen in Baden-Württemberg","JbBadWuert"
"Jahrbuch der Berliner Museen","JbBerlMus"
"Jahrbuch des Bernischen Historischen Museums in Bern","JbBernHistMus"
"Jahresberichte aus Augst und Kaiseraugst","JberAugst"
"Jahresbericht der Archäologischen Bodenforschung des Kantons Basel-Stadt","JberBasel"
"Jahresbericht der Bayerischen Bodendenkmalpflege","JberBayDenkmPfl"
"Jahresbericht. Gesellschaft Pro Vindonissa","JberProVindon"
"Jahresbericht des Instituts für Vorgeschichte der Universität Frankfurt a. M.","JberVgFrankf"
"Jahresbericht. Schweizerisches Landesmuseum Zürich","JberZuerich"
"Jahrbuch der Akademie der Wissenschaften in Göttingen","JbGoett"
"Jahrbuch der Hamburger Kunstsammlungen","JbHambKuSamml"
"Jahrbuch des Kunsthistorischen Museums Wien","JbKHMWien"
"Jahrbuch der Kunsthistorischen Sammlungen in Wien","JbKHSWien"
"Jahrbuch für kleinasiatische Forschung","JbKleinasF"
"Bayerische Akademie der Wissenschaften. Jahrbuch","JbMuench"
"Jahrbuch des Museums für Kunst und Gewerbe, Hamburg","JbMusKGHamb"
"Jahrbuch des Oberösterreichischen Musealvereins","JbMusLinz"
"Jahrbuch der Österreichischen Byzantinistik","JbOeByz"
"Jahrbuch Preussischer Kulturbesitz","JbPreussKul"
"Jahrbuch des Römisch-Germanischen Zentralmuseums Mainz","JbRGZM"
"Jahrbuch der Schweizerischen Gesellschaft für Ur- und Frühgeschichte","JbSchwUrgesch"
"Journal of Cuneiform Studies","JCS"
"Jahrbuch des Deutschen Archäologischen Instituts","JdI"
"The Journal of Egyptian Archaeology","JEA"
"Journal of Early Christian Studies. Journal of the North American Patristics Society","JEChrSt"
"Jaarbericht van het Vooraziatisch-Egyptisch Genootschap Ex Oriente Lux","JEOL"
"Jewellery Studies","JewelSt"
"Journal of Field Archaeology","JFieldA"
"Journal of Glass Studies","JGS"
"The Journal of Hellenic Studies","JHS"
"Journal of Iberian Archaeology","JIbA"
"The Journal of Juristic Papyrology","JJurP"
"Journal für Kunstgeschichte","JKuGesch"
"Journal of Mediterranean Archaeology","JMedA"
"Journal of Mediterranean Anthropology and Archaeology","JMedAnthrA"
"Journal of Mithraic Studies","JMithrSt"
"Journal of Near Eastern Studies","JNES"
