"WORDS";"ABBREVIATIONS";"LANGUAGES"
"fylkesmuseum";"fylkesmus.";"nor"
"fylkessykehus";"n.a.";"nor"
"fyndbörsextra";"n.a.";"swe"
"fyrirtæk-";"fyrirt.";"ice"
"fyrlista";"n.a.";"swe"
"fyrtidende";"fyrtid.";"nor"
"fysiatri-";"fysiatr.";"dan, swe, nor"
"fysica";"fys.";"dut"
"fysiik-";"fys.";"fin"
"fysik-";"fys.";"swe, nor, dan"
"fysiograf-";"fysiogr.";"dan, swe, nor"
"fysiolog-";"fysiol.";"dan, nor, swe"
"fysioterapeut";"fysioter.";"nor"
"fysioterapi";"fysioter.";"nor"
"fysiotherapie";"fysiother.";"dut"
"fysisch-";"fys.";"dut"
"fysisk-";"fys.";"swe, dan, nor"
"fytopathologie";"fytopathol.";"dut"
"fytotechni-";"fytotech.";"cze"
"fyzick-";"fyz.";"cze"
"Gaanderen";"n.a.";"dut"
"gabella";"n.a.";"ita"
"Gabelstapler";"n.a.";"ger"
"Gaben";"n.a.";"ger"
"gabinete";"gab.";"spa"
"gabinett-";"gab.";"ita"
"gabonaipar";"gabonaip.";"hun"
"gabonais";"gabon.";"fre"
"gabonatermelés";"gabonatermel.";"hun"
"Gaborone";"n.a.";"eng"
"Gabun";"n.a.";"ger"
"gaceta";"gac.";"spa"
"gacetilla";"gac.";"spa"
"gada";"n.a.";"lav"
"gadacqvetilebeb-";"gadacqvet.";"geo"
"gadagrāmata";"gadagr.";"lav"
"gadensia";"n.a.";"lat"
"gadget";"n.a.";"fre, eng"
"Gadiana";"n.a.";"spa"
"gaditano";"gadit.";"spa"
"gadsimts";"gs.";"lav"
"gaeilge";"gaeil.";
"gæld-";"gæld.";"dan"
"gaelic";"gael.";"eng"
"Gaggenau";"n.a.";"ger"
"gaggle";"n.a.";"eng"
"gagner";"n.a.";"fre"
"gaian-";"n.a.";"lat"
"gaidhealach";"gaidh.";
"gaillard";"n.a.";"fre"
"Gainesville";"Gainesv.";"eng"
"gaisa";"n.a.";"lav"
"Gaissach-";"Gaissach.";"ger"
"gaita";"n.a.";"spa"
"gaitero";"n.a.";"spa"
"galacti-";"galact.";"mul"
"galaic-";"galaic.";"spa"
"galakt-";"galakt.";"gre"
"galaktik-";"galakt.";"hun"
"galant-";"galant.";"fre"
"gălăt̡ean-";"gălăt̡.";"rum"
"galax-";"n.a.";"eng, fre"
"galben";"n.a.";"rum"
"galdosiano";"galdos.";"spa"
"galeg-";"n.a.";"spa"
"galego";"n.a.";"spa"
"Galēnē";"n.a.";"gre"
"galeni-";"galen.";"mul"
"galería";"n.a.";"spa"
"galerie";"n.a.";"mul"
"Galerieführer";"Galerieführ.";"ger"
"galerij";"n.a.";"dut"
"galerija";"n.a.";"hrv"
"galguero";"galg.";"spa"
"galian";"n.a.";"ind"
"Galicia";"n.a.";"spa"
"Galicien";"n.a.";"mul"
"Galilaia";"n.a.";"gre"
"Galiza";"n.a.";
"gäll-";"gäll.";"swe"
"gallaec-";"n.a.";"lat"
"Gallaghan";"n.a.";"eng"
"Galle";"n.a.";"ger"
"galleg-";"n.a.";"spa"
"Gallenkund-";"Gallenkd.";"ger"
"galleria";"n.a.";"fin"
"gallery";"n.a.";"eng"
"galley";"n.a.";"eng"
"Gallia";"Gall.";"mul"
"gallicus";"gall.";"lat"
"gallik-";"gall.";"gre"
"gallisch-";"gall.";"ger"
"gallium";"n.a.";"lat"
"gallo";"n.a.";"spa"
"galloway";"n.a.";"eng"
"Gallup";"n.a.";"dan"
"galopprond-";"n.a.";"swe"
"galoppsportens";"n.a.";"swe"
"galvaniz-";"galvaniz.";"eng"
"galvanotechni-";"galvanotech.";"mul"
"galvanotecni-";"galvanotec.";"ita"
"galvanotecnica";"galvanotec.";"ita"
"galʹvanotehni-";"galʹvanoteh.";"rus"
"galven-";"galv.";"lav"
"Galveston";"Galvest.";"eng"
"galvosūkiai";"galvosūk.";"lit"
"Galway";"n.a.";"eng"
"gåmålt";"n.a.";"nor"
"Gambi-";"Gamb.";"mul"
"gambling";"gambl.";"eng"
"gamekeeper";"gamekeep.";"eng"
"gamer";"n.a.";"eng"
"gamete";"n.a.";"eng"
"gametogenes-";"gametog.";"eng"
"gaming";"n.a.";"eng"
"gaminiu̢";"n.a.";"lit"
"gamintoj-";"gamint.";"lit"
"gamle";"n.a.";"nor"
"gamma";"n.a.";"mul"
"gammalt";"n.a.";"nor"
"gammel";"n.a.";"nor"
"gamoqeneb-";"gamoqen.";"geo"
"gamou";"n.a.";"gre"
"gamt-";"gamt.";"lit"
"gamtamoksl-";"gamtamoksl.";"lit"
"gamtasaug-";"gamtosaug.";"lit"
"Gamvik";"n.a.";"nor"
"gamyb-";"gamyb.";"lit"
"ganader-";"ganad.";"spa"
"ganado";"n.a.";"spa"
"gananc-";"gananc.";"spa"
"ganatʿleba";"ganatʿl.";"geo"
"ganchillo";"ganch.";"spa"
"gandavensis";"gandav.";"lat"
"gandensia";"n.a.";"lat"
"gander";"n.a.";"eng"
"Gandersheim";"Gandersh.";"ger"
"gândir-";"gând.";"rum"
"gandras";"n.a.";"lit"
"Ganganatha";"n.a.";"mul"
"Gangelt";"n.a.";"ger"
"gangminerali-";"gangminer.";"ger"
"Ganjam";"n.a.";"eng"
"gannatois";"gannat.";"fre"
"ganqop'ileba";"ganq.";"geo"
"ganvit'arebi";"ganv.";"geo"
"ganzen";"n.a.";"dut"
"ganzheitlich";"ganzheitl.";"ger"
"Ganzheitsmedizin-";"Ganzheitsmed.";"ger"
"ganztägig";"ganztäg.";"ger"
"gap'art'oebuli";"gap'art'.";"geo"
"garabato";"garab.";"spa"
"garag-";"garag.";"fre, eng"
"garage";"n.a.";"mul"
"Garagenbetrieb";"Garagenbetr.";"ger"
"Garagengewerbe";"Garagengew.";"ger"
"Garamba";"n.a.";"fre"
"garanti-";"n.a.";"dan"
"garapen";"n.a.";"por"
"garbage";"n.a.";"eng"
"Garbsen";"n.a.";"ger"
"Garching";"Garch.";"ger"
"garçon-";"garçon.";"fre"
"gárda";"n.a.";
"gardēdis";"n.a.";"lav"
"Gardelegen-";"Gardeleg.";"ger"
"garden-";"gard.";"eng"
"Gardena";"n.a.";"eng"
"Gardenvale";"n.a.";"eng"
"Garderen";"n.a.";"dut"
"gardien";"n.a.";"fre"
"Gardikiōt-";"Gardikiōt.";"gre"
"gardois";"n.a.";"fre"
"garens";"n.a.";"dut"
"garešni-";"gareš.";"hrv"
"garfijld";"n.a.";"bul"
"garganta";"n.a.";"eng"
"gargouille";"n.a.";"fre"
"garment";"n.a.";"eng"
"Garmisch-Partenkirchen";"Garm.-Partenkirch.";"ger"
"gärning";"gärn.";"swe"
"garso";"n.a.";"lit"
"Garten";"Gart.";"ger"
"garter";"n.a.";"eng"
"gartner";"Gärt.";"nor, ger"
"gartneri";"gart.";"nor"
"gärtnerisch";"gärt.";"ger"
"gärtnern";"gärt.";"ger"
"Gärtringen";"Gärtr.";"ger"
"Gärung";"Gär.";"ger"
"Gasaet";"n.a.";"eng"
"gasbedrijven";"gasbedr.";"dut"
"Gasbeleuchtung";"Gasbeleucht.";"ger"
"Gaschromatographie";"Gaschromatogr.";"ger"
"Gascogne";"Gasc.";"fre"
"Gascon-";"Gasc.";"fre"
"gasdetection";"gasdetect.";"eng"
"gasdynami-";"gasdyn.";"eng"
"gaséification";"gaséif.";"fre"
"gaseta";"gas.";"cat"
"Gasfeuerung";"Gasfeuer.";"ger"
"gasfit-";"gasfit.";"eng"
"gasförening-";"gasfören.";"swe"
"gasförmig";"gasförm.";"ger"
"gasification";"gasif.";"eng"
"gasilski";"gasil.";"slv"
"Gasinstitut";"Gasinst.";"ger"
"Gasmesstechnik";"Gasmesstech.";"ger"
"gasohol";"gasoh.";"eng"
"gasóleo";"n.a.";"spa"
"gasoline";"gasol.";"eng"
"gaspadar-";"gaspad.";"bel"
"Gaspe";"n.a.";"fre"
"Gaspesie";"n.a.";"fre"
"gaspésien";"gaspés.";"fre"
"gaspipe";"n.a.";"eng"
"Gassterilis-";"Gassteril.";"ger"
"gassvirksomhet";"gassvirksomh.";"nor"
"Gastarif";"n.a.";"ger"
"Gastechni-";"Gastech.";"ger"
"Gästehaus";"n.a.";"ger"
"Gasteiz";"n.a.";"baq"
"gastekni-";"gastek.";"dan, swe, nor"
"Gastgeber";"Gastgeb.";"ger"
"Gastgewerbe";"Gastgew.";"ger"
"gastgewerblich";"gastgewerbl.";"ger"
"Gasthörer";"Gasthör.";"ger"
"gastlich";"gastl.";"ger"
"Gastlichkeit";"Gastlichk.";"ger"
"gasto";"n.a.";"spa"
"gastric";"n.a.";"eng"
"Gästrikland";"Gästrikl.";"swe"
"gastroenterohepatol-";"gastroenterohepatol.";"eng, hrv"
"gastroenterolog-";"gastroenterol.";"mul"
"gastrointestinal";"gastrointest.";"fre, eng"
"gastrokineti-";"gastrokinet.";"eng"
"gastron-";"gastron.";"eng, gre, fre, lav"
"Gaststätte";"n.a.";"ger"
"Gaststättengewerbe";"Gaststättengew.";"ger"
"Gaststättenrecht";"Gaststättenr.";"ger"
"Gaststättenwesen";"Gaststättenwes.";"ger"
"Gaststättenzählung";"Gaststättenzähl.";"ger"
"Gaststättenzeitung";"Gaststättenztg.";"ger"
"gastu";"n.a.";"baq"
"Gasturbine";"n.a.";"ger"
"Gastvortr-";"Gastvortr.";"ger"
"Gastwirt";"n.a.";"ger"
"gasverksförening-";"gasverksfören.";"swe"
"Gasverorgun";"Gasversorg.";"ger"
"Gasversorgung";"Gasversorg.";"ger"
"Gasverwendung";"Gasverwend.";"ger"
"gasvoorziening";"gasvoorzien.";"dut"
"Gaswirtschaft";"Gaswirtsch.";"ger"
"gasztroenterológia";"gasztroenterol.";"hun"
"gasztronóm-";"gasztron.";"hun"
"gatačk-";"gatač.";"srp"
"Gateshead";"Gatesh.";"eng"
"gateway";"gatew.";"eng"
"gather-";"n.a.";"eng"
"gathering";"gather.";"eng"
"Gatineau";"n.a.";"fre"
"gatto";"n.a.";"ita"
"Gatton";"n.a.";"eng"
"Gattung-";"Gatt.";"ger"
"gatukok";"n.a.";"swe"
"gatunamn";"n.a.";"swe"
"Gatwick";"n.a.";"eng"
"gatxr-";"gatxr.";"geo"
"gauch-";"gauch.";"fre"
"gaudeamus";"n.a.";"dut"
"gaudium";"n.a.";"lat"
"gauging";"n.a.";"eng"
"Gaull-";"Gaull.";"fre"
"gaulois";"n.a.";"fre"
"gauntlet";"n.a.";"eng"
"găură";"n.a.";"rum"
"Gauting";"n.a.";"ger"
"gavanʹ";"gav.";"rus"
"gaviota";"n.a.";"spa"
"Gävleborg";"Gävleb.";"swe"
"gayana";"n.a.";"spa"
"gazdaképz-";"gazdak.";"hun"
"gazdálkod-";"gazdálk.";"hun"
"gazdaság";"gazd.";"hun"
"gazdaságelemz-";"gazdelemz.";"hun"
"gazdasāgfejleszt-";"gazdfejleszt.";"hun"
"gazdaságirányít-";"gazdirány.";"hun"
"gazdaságkutat-";"gazdkut.";"hun"
"gazdaságkutatás";"gazdkut.";"hun"
"gazdaságpolitika";"gazdpolit.";"hun"
"gazdaságstatisztika";"gazdstat.";"hun"
"gazdaságszervez-";"gazdszerv.";"hun"
"gazdaságtan";"gazdt.";"hun"
"gazdaságtörténet";"gazdtört.";"hun"
"gazdaságtudomány";"gazdtud.";"hun"
"gazdászélet";"n.a.";"hun"
"gazdinka";"n.a.";"slo"
"gazéification";"gazéif.";"fre"
"gazelle";"n.a.";"eng"
"gazeta";"gaz.";"rus, rum"
"gazetilha";"gaz.";"por"
"gazetn-";"gaz.";"rus"
"gazeto";"gaz.";
"gazette";"gaz.";"fre"
"gazetteer";"gazet.";"dut"
"gazety";"gaz.";"roa"
"gazier";"n.a.";"fre"
"gazifère";"gazif.";"fre"
"gazifikac-";"gazif.";"rus"
"gázipar";"gázip.";"hun"
"gázkonferencia";"gázkonf.";"hun"
"gazodinam-";"gazodin.";"rus"
"gazogenerat-";"gazogener.";"rus"
"gazokondens-";"gazokondens.";"rus"
"gazomaterinsk-";"gazomaterin.";"rus"
"gazométrie";"gazom.";"fre"
"gazoneft-";"gazoneft.";"rus"
"gazoneftenosn-";"gazoneftenosn.";"rus"
"gazonosn-";"gazonosn.";"rus"
"gazoobrazovan-";"gazoobraz.";"rus"
"gazopererab-";"gazopererab.";"rus"
"gazoplamenn-";"gazoplam.";"rus"
"gazopromyslov-";"gazopromysl.";"rus"
"gazorazrâdnyj";"gazorazr.";"rus"
"gazosnabžen-";"gazosnabž.";"rus"
"gazotermodinam-";"gazotermodin.";"rus"
"gazoustojčiv-";"gazoustojčiv.";"rus"
"gazov-";"gazov.";"rus"
"gazovydelenie";"n.a.";"rus"
"gazow-";"gazow.";"pol"
"gazzétta";"gazz.";"ita"
"gazzettino";"gazz.";"ita"
"Gdańsk";"Gdań.";"pol"
"gdański-";"gdań.";"pol"
"Gdynia";"Gdyn.";"pol"
"geaardheid";"geaardh.";"dut"
"gearbox";"n.a.";"eng"
"geautomatiseerd-";"geautom.";"dut"
"gebaar";"n.a.";"dut"
"Gebäck";"n.a.";"ger"
"Gebärde";"n.a.";"ger"
"Gebärdensprache";"Gebärdenspr.";"ger"
"Gebäude";"n.a.";"ger"
"Gebäudereiniger";"Gebäudereinig.";"ger"
"Gebäudetechni-";"Gebäudetech.";"ger"
"Gebetsapostolat";"Gebetsapostol.";"ger"
"gebeuren";"gebeur.";"dut"
"gebied";"geb.";"dut"
"Gebiet-";"Geb.";"ger"
"geboor-";"geboor.";"afr"
"geboorteregeling";"geboorteregel.";"dut"
"geboren-";"gebor.";"dut, ger"
"gebou-";"n.a.";"afr"
"gebouw";"n.a.";"dut"
"gebouw-";"gebouw.";"dut"
"gebouwaanpassing-";"gebouwaanpass.";"dut"
"Gebrauchmuster";"n.a.";"ger"
"Gebrauchsfotograf-";"Gebrauchsfotogr.";"ger"
"Gebrauchsgegenstand";"n.a.";"ger"
"gebrauchsgraphisch-";"gebrauchsgraph.";"ger"
"gebrauchsgut";"n.a.";"ger"
"Gebrauchszolltarif-";"n.a.";"ger"
"gebraucht";"n.a.";"ger"
"Gebrauchtwagen";"n.a.";"ger"
"Gebrüder";"n.a.";"ger"
"Gebrueder";"n.a.";"ger"
"gebruik-";"gebr.";"dut"
"Gebrüll";"n.a.";"ger"
"gebundeld";"n.a.";"dut"
"gebunden";"gebund.";"ger"
"Geburtshelfer";"Geburtshelf.";"ger"
"Geburtshilfe";"n.a.";"ger"
"Geburtshülf-";"Geburtshülf.";"ger"
"gecelik";"gecel.";"tur"
"Geconsolideer-";"Geconsol.";"dut"
"gecoördin-";"gecoörd.";"dut"
"gedachte";"n.a.";"dut"
"gedachten";"n.a.";"dut"
"gedanensis";"n.a.";"lat"
"Gedanke";"n.a.";"ger"
"gedeeld";"n.a.";"dut"
"gedeeltelijk";"gedeeltel.";"dut"
"Gedenkbibliothek";"Gedenkbibl.";"ger"
"Gedenken";"n.a.";"ger"
"Gedenkschrift";"Gedenkschr.";"ger"
"Gedenkstätte";"n.a.";"ger"
"Gedenktag";"n.a.";"ger"
"Gedenkwort";"n.a.";"ger"
"gedetaillerd";"gedetaill.";"dut"
"gedicht";"n.a.";"dut"
"Gedikpas̡a";"Gedikp.";"tur"
"gedimin-";"gedim.";"lit"
"geding";"n.a.";"dut"
"gediplomeerde";"gedipl.";"dut"
"gedistilleerd";"gedistill.";"dut"
"gedokument-";"gedok.";"dut"
"gedrag";"n.a.";"dut"
"gedronken";"gedronk.";"dut"
"gedruck-";"gedruck.";"ger"
"gedurende";"gedur.";"dut"
"geëindig";"geëind.";"afr"
"Geelong";"n.a.";"eng"
"Geertruidenberg";"Geertruidenb.";"dut"
"Geervliet";"n.a.";"dut"
"Geest";"n.a.";"ger"
"geestelijk";"geest.";"dut"
"Geesteswetenskap-";"Geesteswet.";"afr"
"Geesthacht";"n.a.";"ger"
"Gefährdung";"Gefährd.";"ger"
"Gefahrgut";"n.a.";"ger"
"gefährlich";"gefährl.";"ger"
"Gefahrstoff";"Gefahrst.";"ger"
"gefälscht-";"n.a.";"ger"
"Gefang-";"Gefang.";"ger"
"Gefängnis";"Gefängn.";"ger"
"Gefäss";"n.a.";"ger"
"Gefässchirurgie";"Gefässchir.";"ger"
"Gefässerkrankung-";"Gefässerkrank.";"ger"
"Gefässkrankheit-";"Gefässkrankh.";"ger"
"Gefässsystem-";"Gefässsyst.";"ger"
"Gefässwand";"n.a.";"ger"
"Gefässwandelement";"Gefässwandelem.";"ger"
"gefieder-";"gefied.";"ger"
"gefinancierd-";"gefinanc.";"dut"
"Geflecht";"n.a.";"ger"
"Geflügel";"n.a.";"ger"
"Geflügelfleischkontroll-";"Geflügelfleischkontroll.";"ger"
"Geflügelfleischuntersuchung";"Geflügelfleischunters.";"ger"
"Geflügelkonfer-";"Geflügelkonf.";"ger"
"Geflügelkund-";"Geflügelkd.";"ger"
"Geflügelwirtschaft";"Geflügelwirtsch.";"ger"
"Geflügelzüchter";"Geflügelzücht.";"ger"
"gefördert";"geförd.";"ger"
"Gefügemeliorati-";"Gefügemelior.";"ger"
"geganter";"n.a.";"cat"
"Gegebenheit";"Gegebenh.";"ger"
"gégegyógyász-";"gégegyógy.";"hun"
"gégeklinika";"gégeklin.";"hun"
"Gegenbaurs";"n.a.";"ger"
"Gegend";"n.a.";"ger"
"Gegeninformation";"Gegeninf.";"ger"
"gegenseitig";"gegenseit.";"ger"
"Gegenstand";"n.a.";"ger"
"Gegenwart-";"Ggw.";"ger"
"gegenwärtig-";"ggw. ";"ger"
"gégeorvos";"gégeorv.";"hun"
"gegeven";"n.a.";"dut"
"gegevensbank-";"gegevensbank.";"dut"
"Gehalt";"n.a.";"ger"
"Gehälter";"Gehält.";"ger"
"Gehaltsabrechnung";"Gehaltsabrechn.";"ger"
"gehandicapt-";"gehandicap.";"dut"
"gehandikapt-";"gehandikapt.";"dut"
"geheel-onthouder";"geheel-onthoud.";"dut"
"Gehege";"n.a.";"ger"
"geheime";"n.a.";"dut"
"Geheimmittel-";"Geheimm.";"ger"
"Geheimnis";"Geheimn.";"ger"
"Gehirn";"n.a.";"ger"
"gehoben-";"gehob.";"ger"
"gehoorgestoord-";"n.a.";"dut"
"gehören";"gehör.";"ger"
"Gehörlos";"n.a.";"ger"
"Gehörlos-";"Gehörlos.";"ger"
"gehört";"n.a.";"ger"
"gehoud-";"gehoud.";"dut"
"geijersk";"n.a.";"swe"
"Geilenkirchen";"Geilenkirch.";"ger"
"geïllustreerd";"geïllus.";"dut"
"geinventariseerd";"geinventar.";"dut"
"Geisenheim";"Geisenh.";"ger"
"Geislingen";"Geisl.";"ger"
"Geist";"n.a.";"ger"
"Geistesgeschichte";"Geistesgesch.";"ger"
"Geisteskultur";"Geisteskult.";"ger"
"Geistesleben";"Geistesleb.";"ger"
"Geisteswelt";"n.a.";"ger"
"Geisteswissenschaft";"Geisteswiss.";"ger"
"geistig-";"geist.";"ger"
"geistlich-";"geistl.";"ger"
"Geistlichkeit";"Geistlichk.";"ger"
"geitehouder";"geitehoud.";"dut"
"Geithain";"n.a.";"ger"
"gekleckst";"n.a.";"ger"
"geknipt";"n.a.";"dut"
"gekrookt-";"n.a.";"dut"
"gekündigt";"gekünd.";"ger"
"Geländer";"n.a.";"ger"
"Geländewagen";"Geländewag.";"ger"
"gelanggang";"gelangg.";"may"
"gélatine";"n.a.";"fre"
"Geldanlage";"Geldanl.";"ger"
"Gelderland";"n.a.";"dut"
"Gelders";"Geld.";"dut"
"geldgids";"n.a.";"dut"
"Geldinstitut";"Geldinst.";"ger"
"Geldlehre";"n.a.";"ger"
"Geldschein";"n.a.";"ger"
"Geldzeich-";"Geldzeich.";"ger"
"Geleen";"n.a.";"dut"
"Gelehrsamkeit";"Gelehrsamk.";"ger"
"gelehrt-";"gelehrt.";"ger"
"gelehrte";"n.a.";"ger"
"geleide";"n.a.";"dut"
"geleiderail";"n.a.";"dut"
"geleitet";"geleit.";"ger"
"gelenk-";"gelenk.";"ger"
"Gelenkrheumati-";"Gelenkrheum.";"ger"
"geleobrazovan-";"geleobraz.";"rus"
"Gelert-";"Gelert.";"ger"
"gelesen";"geles.";"ger"
"geležinkel-";"glžk.";"lit"
"geliebt-";"n.a.";"ger"
"gelijke";"n.a.";"dut"
"gelijkgesteld";"n.a.";"dut"
"gelio";"n.a.";"gre"
"geliotehni-";"gelioteh.";"rus"
"gelişme";"geliş.";"tur"
"gelʹmintolog-";"gelʹmintol.";"rus"
"Gelnhausen";"Gelnhaus.";"ger"
"Gelnhäuser";"Gelnhäus.";"ger"
"geloof";"n.a.";"dut"
"geloofsgevang-";"n.a.";"dut"
"gelora";"n.a.";"ind"
"geloven";"n.a.";"dut"
"Gelsenkirchen";"Gelsenkirch.";"ger"
"gelten";"gelt.";"ger"
"geluid";"n.a.";"dut"
"geluidsdrager";"geluidsdr.";"dut"
"Gemälde";"n.a.";"ger"
"gemäss";"n.a.";"ger"
"gematē";"n.a.";"ger"
"gematolog-";"gematol.";"rus"
"gémeaux";"n.a.";"fre"
"gemeenschap";"gem.";"dut"
"gemeente";"gem.";"dut"
"gemeenteberichte";"gemeenteber.";"dut"
"gemeentebestuur";"gemeentebest.";"dut"
"gemeenteblad";"gemeentebl.";"dut"
"gemeentekrediet";"n.a.";"dut"
"gemeentelijk";"gem.";"dut"
"gemeenteraad";"n.a.";"dut"
"gemeenterecht";"gemeenter.";"dut"
"gemeentereiniging";"gemeentereinig.";"dut"
"gemeentewerk-";"gemeentew.";"dut"
"gemeentezaken";"n.a.";"dut"
"gemein";"gem.";"ger"
"Gemeinde";"Gem.";"ger"
"Gemeinnützigkeit";"Gemeinnützigk.";"ger"
"gemeinsam";"gem.";"ger"
"Gemeinschaft";"Gem.";"ger"
"Gemeinwirtschaft";"Gemeinwirtsch.";"ger"
"gemellolog-";"gemellol.";"mul"
"gemengde";"n.a.";"dut"
"gemenskap";"gem.";"swe"
"gemersk-";"gemer.";"slo"
"gemert-";"n.a.";"dut"
"gemilang";"n.a.";"may"
"gemme";"n.a.";"ita"
"Gemmingen";"Gemming.";"ger"
"gemmolog-";"gemmol.";"mul"
"gemolog-";"gemol.";"spa"
"Gemstones";"n.a.";"eng"
"Gemünden";"Gemünd.";"ger"
"Gemüse";"n.a.";"ger"
"Gemüseanbau";"n.a.";"ger"
"Gemüseanbaufläche";"Gemüseanbaufl.";"ger"
"Gemüsebau";"n.a.";"ger"
"Gemüsebaulich-";"Gemüsebaul.";"ger"
"Gemüseindustr-";"Gemüseind.";"ger"
"Gemüseprodukt-";"Gemüseprod.";"ger"
"Gemüsesaftindustr-";"Gemüsesaftind.";"ger"
"Gemüsesorte";"n.a.";"ger"
"Gemüseverwertung-";"Gemüseverwert.";"ger"
"genade";"n.a.";"dut"
"genagogue";"genagog.";"mul"
"genbrug";"genbr.";"dan"
"gençliǧ-";"genç.";"tur"
"gençlik";"genç.";"tur"
"gendarme-";"gendarm.";"fre"
"gender";"gend.";"eng"
"genderang";"n.a.";"ind"
"Gendringen";"Gendr.";"dut"
"genealog-";"geneal.";"mul"
"genedlaethol";"genedl.";"wel"
"geneesheer";"geneesh.";"dut"
"geneeskund-";"geneeskd.";"dut"
"geneesmiddel";"geneesm.";"dut"
"geneeswijzen";"geneesw.";"dut"
"genehmig-";"genehm.";"ger"
"Genehmigung";"Genehm.";"ger"
"genepool-";"n.a.";"eng"
"generación";"gener.";"spa"
"generador-";"gener.";"spa"
"general-";"gen.";"fre, eng"
"generalísimo";"n.a.";"spa"
"generalista";"n.a.";"spa"
"généraliste";"n.a.";"fre"
"generalitat";"general.";"cat"
"generaltullstyreslen";"generaltullstyr.";"swe"
"generasi";"gener.";"may"
"generat-";"gener.";"mul"
"générateur";"génér.";"fre"
"generat̡ie";"gener.";"rum"
"génération";"génér.";"fre"
"généraux";"gén.";"fre"
"generazióne";"gener.";"ita"
"generel";"gen.";"dan"
"generic";"n.a.";"eng"
"genèse";"n.a.";"fre"
"Genesende";"Genes.";"ger"
"genesis";"genes.";"mul"
"Genesung-";"Genes.";"mul"
"genet-";"genet.";"mul"
"Geneva";"n.a.";"eng"
"Genève";"n.a.";"fre"
"genevois";"genev.";"fre"
"genezer";"n.a.";"dut"
"genezis";"n.a.";"rus"
"genia";"n.a.";"gre"
"genialec";"genial.";"slv"
"génie";"n.a.";"fre"
"geniessen";"geniess.";"ger"
"genikos";"gen.";"gre"
"genio";"n.a.";"spa"
"genital";"genit.";"eng"
"geniteurslijst";"geniteursl.";"dut"
"génito-urinaire";"génito-urin.";"fre"
"genito-urinary";"genito-urin.";"eng"
"genitor-";"genit.";"ita"
"genitourinary";"genitourin.";"eng"
"genius";"n.a.";"eng"
"gennemsnit";"gennemsn.";"dan"
"gennēsē";"n.a.";"gre"
"genocide";"n.a.";"mul"
"genoma";"n.a.";"spa"
"genomanalys-";"genomanal.";"ger"
"genome";"n.a.";"eng"
"genomic-";"genom.";"eng, dut"
"genootschap-";"genoot.";"dut"
"genosistem-";"genosist.";"rus"
"Genossenschaft-";"Genoss.";"ger"
"genotmiddel";"genotm.";"dut"
"genotoxicolog-";"genotoxicol.";"eng"
"genotschap-";"genot.";"dut"
"Gènova";"n.a.";"ita"
"genovése";"genov.";"ita"
"Genozid";"n.a.";"ger"
"génsebész-";"génseb.";"hun"
"génsebészet";"génseb.";"hun"
"gente";"n.a.";"spa"
"Gentechnik";"Gentech.";"ger"
"gentherap-";"genther.";"ger"
"gentil";"n.a.";"fre"
"gentleman";"gentlem.";"eng"
"genuin-";"genuin.";"lat"
"Genuss";"n.a.";"ger"
"Genusschein";"n.a.";"ger"
"Genussmittel";"Genussm.";"ger"
"geoarcheologic-";"geoarcheol.";"ita"
"geoastrophysic-";"geoastrophys.";"eng"
"geobiolog-";"geobiol.";"eng"
"geobotan-";"geobot.";"mul"
"Geochem-";"Geochem.";"ger, eng"
"geochim-";"geochim.";"fre, ita, rum"
"geochronology";"geochronol.";"eng"
"geociencia";"geocienc.";"spa"
"geocode";"n.a.";"eng"
"geocriogénic-";"geocriog.";"spa"
"geocryolog-";"geocryol.";"fre, eng"
"geodaes-";"geod.";"eng"
"geodaet-";"geod.";"eng"
"geōdait-";"geōd.";"gre"
"geodät-";"geod.";"ger"
"geodeettis";"geod.";"fin"
"géodés-";"géod.";"fre, mul, ita, spa"
"geodet-";"géod.";"mul, spa, ita, fre"
"geodez-";"geod.";"rus, hun"
"geodinami-";"geodin.";"rus"
"geodynami-";"geodyn.";"eng"
"geoecological";"geoecol.";"eng"
"geoeconomico";"geoecon.";"ita"
"geoelectric-";"geoelectr.";"fre, eng"
"geoelektrica";"geoelektr.";"rus"
"geoengineer-";"geoengin.";"eng"
"geoestadistica";"geoestad.";"spa"
"geoestrategia";"geoestrateg.";"spa"
"Geoexploration";"Geoexplor.";"eng"
"geofis-";"geofis.";"spa, ita"
"geofiz-";"geofiz.";"rus"
"geofys-";"geofys.";"nor, swe, dan"
"Geognosie";"Geogn.";"ger"
"geograf-";"geogr.";"rus"
"geográfia";"geogr.";"hun"
"geogram";"n.a.";"eng"
"geograph-";"geogr.";"fre, eng"
"geohim-";"geohim.";"rus"
"geohistoria";"geohist.";"spa"
"geohronolog-";"geohronol.";"rus"
"geohydrolagisk";"geohydrol.";"swe"
"geoindustria";"geoind.";"mul"
"geoinformatika";"geoinform.";"rus"
"géoinformation";"géoinf.";"fre"
"geoingegneria";"geoing.";"ita"
"geojournal";"geoj.";"eng"
"geokosmič-";"geokosm.";"rus"
"geokriolog-";"geokriol.";"rus"
"geolingüíst-";"geolingüíst.";"cat"
"geolinguistics";"geolinguist.";"eng"
"geolog-";"geol.";"mul"
"geologohimč-";"geologohim.";"rus"
"geologopoiskov-";"geologopoisk.";"rus"
"geologoproucvateln-";"geologoprouc.";"bel"
